Latitude,Longitude,Elevation
34.83479000,-85.4803600,538.0
34.83480000,-85.4805000,539.0
34.83480000,-85.4805700,540.0
34.83478000,-85.4806200,540.0
34.83476000,-85.4806700,540.0
34.83473000,-85.4807300,541.0
34.83471000,-85.4807800,541.0
34.83467000,-85.4808400,541.0
34.83464000,-85.4809000,541.0
34.83461000,-85.4809500,541.0
34.83458000,-85.4810100,542.0
34.83456000,-85.4810800,542.0
34.83453000,-85.4811500,542.0
34.83452000,-85.4812500,542.0
34.83452000,-85.4813200,542.0
34.83452000,-85.4814000,542.0
34.83454000,-85.4814800,541.0
34.83456000,-85.4815400,540.0
34.83456000,-85.4816200,538.0
34.83456000,-85.4816800,537.0
34.83453000,-85.4817300,537.0
34.83449000,-85.4817700,537.0
34.83445000,-85.4818000,538.0
34.83439000,-85.4818300,539.0
34.83437000,-85.4818500,539.0
34.83433000,-85.4818900,539.0
34.83429000,-85.4819400,539.0
34.83424000,-85.4819800,539.0
34.83420000,-85.4820000,539.0
34.83416000,-85.4820200,540.0
34.83410000,-85.4820400,541.0
34.83406000,-85.4820700,541.0
34.83402000,-85.4821000,541.0
34.83399000,-85.4821400,541.0
34.83397000,-85.4822100,541.0
34.83395000,-85.4823000,540.0
34.83393000,-85.4823600,541.0
34.83390000,-85.4824000,541.0
34.83388000,-85.4824500,542.0
34.83388000,-85.4825100,541.0
34.83388000,-85.4825700,541.0
34.83388000,-85.4826400,540.0
34.83387000,-85.4827000,540.0
34.83385000,-85.4827500,539.0
34.83383000,-85.4828000,539.0
34.83381000,-85.4828700,538.0
34.83382000,-85.4829300,536.0
34.83384000,-85.4829900,534.0
34.83386000,-85.4830300,533.0
34.83391000,-85.4830800,530.0
34.83392000,-85.4831400,528.0
34.83392000,-85.4831900,527.0
34.83388000,-85.4832300,529.0
34.83384000,-85.4832600,530.0
34.83380000,-85.4832900,530.0
34.83376000,-85.4833100,531.0
34.83372000,-85.4833400,532.0
34.83369000,-85.4834000,532.0
34.83370000,-85.4834600,531.0
34.83372000,-85.4835100,529.0
34.83375000,-85.4835500,527.0
34.83380000,-85.4835500,524.0
34.83386000,-85.4835400,521.0
34.83392000,-85.4835200,518.0
34.83398000,-85.4835200,512.0
34.83402000,-85.4835000,509.0
34.83407000,-85.4834900,505.0
34.83412000,-85.4834700,502.0
34.83417000,-85.4834400,501.0
34.83419000,-85.4833900,504.0
34.83421000,-85.4833400,507.0
34.83422000,-85.4832700,507.0
34.83425000,-85.4832200,505.0
34.83428000,-85.4831800,504.0
34.83433000,-85.4831400,502.0
34.83437000,-85.4831100,501.0
34.83440000,-85.4830700,500.0
34.83444000,-85.4830400,500.0
34.83449000,-85.4830200,498.0
34.83454000,-85.4830100,496.0
34.83459000,-85.4830000,494.0
34.83464000,-85.4829700,493.0
34.83467000,-85.4829200,494.0
34.83470000,-85.4828700,494.0
34.83473000,-85.4828200,494.0
34.83477000,-85.4827600,492.0
34.83479000,-85.4827000,491.0
34.83479000,-85.4826400,492.0
34.83479000,-85.4825700,492.0
34.83481000,-85.4824900,491.0
34.83483000,-85.4824300,491.0
34.83484000,-85.4823700,492.0
34.83486000,-85.4822900,492.0
34.83488000,-85.4822300,491.0
34.83491000,-85.4821700,489.0
34.83495000,-85.4821300,486.0
34.83499000,-85.4821000,482.0
34.83503000,-85.4820600,479.0
34.83506000,-85.4820100,478.0
34.83508000,-85.4819600,479.0
34.83512000,-85.4819000,479.0
34.83515000,-85.4818400,481.0
34.83518000,-85.4817800,483.0
34.83521000,-85.4817200,485.0
34.83524000,-85.4816600,486.0
34.83527000,-85.4816000,489.0
34.83529000,-85.4815500,491.0
34.83531000,-85.4815000,492.0
34.83531000,-85.4814300,500.0
34.83531000,-85.4813700,506.0
34.83532000,-85.4813100,509.0
34.83533000,-85.4812500,512.0
34.83536000,-85.4812000,512.0
34.83541000,-85.4811900,506.0
34.83545000,-85.4812100,498.0
34.83548000,-85.4812500,487.0
34.83551000,-85.4813100,471.0
34.83553000,-85.4813600,457.0
34.83557000,-85.4814200,443.0
34.83561000,-85.4814500,439.0
34.83566000,-85.4814600,435.0
34.83572000,-85.4814500,432.0
34.83577000,-85.4814400,429.0
34.83581000,-85.4813900,426.0
