Latitude,Longitude,Elevation
33.93787000,-84.4428500,317.0
33.93784000,-84.4428200,316.0
33.93783000,-84.4427200,315.0
33.93765000,-84.4421400,311.0
33.93757000,-84.4419800,312.0
33.93747000,-84.4418600,311.0
33.93735000,-84.4416300,309.0
33.93728000,-84.4414600,308.0
33.93722000,-84.4412800,306.0
33.93722000,-84.4411400,306.0
33.93720000,-84.4410500,306.0
33.93708000,-84.4408500,306.0
33.93695000,-84.4406900,305.0
33.93681000,-84.4405700,305.0
33.93668000,-84.4405100,305.0
33.93663000,-84.4405100,305.0
33.93653000,-84.4405100,306.0
33.93645000,-84.4405300,307.0
33.93634000,-84.4402900,307.0
33.93630000,-84.4399800,308.0
33.93636000,-84.4398200,308.0
33.93647000,-84.4395800,309.0
33.93640000,-84.4393900,310.0
33.93640000,-84.4391100,309.0
33.93641000,-84.4390600,309.0
33.93643000,-84.4390300,309.0
33.93657000,-84.4390000,309.0
33.93676000,-84.4387800,307.0
33.93677000,-84.4387500,306.0
33.93683000,-84.4386300,305.0
33.93685000,-84.4385400,305.0
33.93692000,-84.4383600,304.0
33.93694000,-84.4382700,305.0
33.93692000,-84.4380300,306.0
33.93698000,-84.4378600,307.0
33.93707000,-84.4377000,307.0
33.93722000,-84.4375600,307.0
33.93735000,-84.4375700,306.0
33.93747000,-84.4375400,305.0
33.93754000,-84.4374000,304.0
33.93755000,-84.4373700,303.0
33.93754000,-84.4373100,303.0
33.93752000,-84.4372600,303.0
33.93748000,-84.4372300,303.0
33.93744000,-84.4372100,303.0
33.93744000,-84.4372200,303.0
33.93742000,-84.4372300,303.0
33.93733000,-84.4372500,303.0
33.93726000,-84.4372300,303.0
33.93714000,-84.4372100,303.0
33.93708000,-84.4371600,301.0
33.93698000,-84.4371400,301.0
33.93694000,-84.4371400,301.0
33.93689000,-84.4371400,301.0
33.93679000,-84.4371300,301.0
33.93673000,-84.4370900,301.0
33.93670000,-84.4370600,301.0
33.93673000,-84.4370000,300.0
33.93677000,-84.4369100,298.0
33.93689000,-84.4367800,296.0
33.93690000,-84.4367400,296.0
33.93690000,-84.4367000,295.0
33.93688000,-84.4366800,296.0
33.93680000,-84.4366800,297.0
33.93677000,-84.4366900,297.0
33.93676000,-84.4366900,297.0
33.93677000,-84.4365500,297.0
33.93684000,-84.4365000,297.0
33.93690000,-84.4363600,296.0
33.93696000,-84.4362600,294.0
33.93701000,-84.4361900,293.0
33.93706000,-84.4360800,291.0
33.93706000,-84.4360300,291.0
33.93702000,-84.4358900,290.0
33.93705000,-84.4356300,284.0
33.93705000,-84.4355400,282.0
33.93701000,-84.4354200,279.0
33.93697000,-84.4353300,278.0
33.93696000,-84.4353100,278.0
33.93689000,-84.4352500,278.0
33.93682000,-84.4352200,278.0
33.93675000,-84.4352100,279.0
33.93665000,-84.4352200,281.0
33.93661000,-84.4352100,282.0
33.93657000,-84.4352100,282.0
33.93653000,-84.4352200,283.0
33.93648000,-84.4352400,285.0
33.93641000,-84.4352700,287.0
33.93637000,-84.4353000,288.0
33.93627000,-84.4353000,289.0
33.93621000,-84.4353000,289.0
33.93618000,-84.4353000,290.0
33.93616000,-84.4352700,289.0
33.93618000,-84.4352400,288.0
33.93621000,-84.4351900,286.0
33.93623000,-84.4351400,285.0
33.93623000,-84.4350900,283.0
33.93622000,-84.4350400,282.0
33.93613000,-84.4349800,280.0
33.93607000,-84.4349600,280.0
33.93602000,-84.4349600,280.0
33.93598000,-84.4349600,281.0
33.93595000,-84.4349300,281.0
33.93590000,-84.4348700,280.0
33.93583000,-84.4348100,281.0
33.93576000,-84.4348100,281.0
33.93567000,-84.4348200,282.0
33.93564000,-84.4348200,283.0
33.93562000,-84.4348000,282.0
33.93560000,-84.4347600,282.0
33.93553000,-84.4346800,280.0
33.93547000,-84.4346100,278.0
33.93540000,-84.4346000,279.0
33.93528000,-84.4345700,279.0
33.93519000,-84.4345400,280.0
33.93511000,-84.4345200,281.0
33.93507000,-84.4344800,280.0
33.93501000,-84.4344300,280.0
33.93496000,-84.4344200,280.0
33.93487000,-84.4344300,282.0
33.93481000,-84.4344600,283.0
33.93477000,-84.4344900,284.0
33.93471000,-84.4345100,285.0
