Latitude,Longitude,Elevation
34.63777000,-84.1950300,1034.0
34.63774000,-84.1950900,1033.0
34.63773000,-84.1951700,1033.0
34.63770000,-84.1952100,1032.0
34.63768000,-84.1952300,1032.0
34.63762000,-84.1952800,1032.0
34.63754000,-84.1952700,1032.0
34.63753000,-84.1953200,1033.0
34.63750000,-84.1955400,1033.0
34.63747000,-84.1956700,1034.0
34.63745000,-84.1957800,1035.0
34.63747000,-84.1958400,1035.0
34.63752000,-84.1959500,1036.0
34.63758000,-84.1960400,1036.0
34.63766000,-84.1961600,1036.0
34.63770000,-84.1963200,1038.0
34.63770000,-84.1965100,1040.0
34.63770000,-84.1966000,1041.0
34.63766000,-84.1967200,1043.0
34.63764000,-84.1968200,1044.0
34.63757000,-84.1969300,1045.0
34.63751000,-84.1970100,1045.0
34.63744000,-84.1970600,1046.0
34.63732000,-84.1971200,1048.0
34.63726000,-84.1971500,1049.0
34.63720000,-84.1971600,1050.0
34.63686000,-84.1972700,1052.0
34.63667000,-84.1973200,1053.0
34.63653000,-84.1973300,1056.0
34.63618000,-84.1973900,1063.0
34.63604000,-84.1974100,1066.0
34.63586000,-84.1974100,1069.0
34.63566000,-84.1973900,1072.0
34.63552000,-84.1974200,1072.0
34.63520000,-84.1974600,1075.0
34.63512000,-84.1975000,1074.0
34.63483000,-84.1975400,1073.0
34.63444000,-84.1976100,1073.0
34.63420000,-84.1976100,1077.0
34.63404000,-84.1976300,1078.0
34.63393000,-84.1976200,1080.0
34.63372000,-84.1976100,1080.0
34.63360000,-84.1976000,1079.0
34.63346000,-84.1975400,1082.0
34.63321000,-84.1974400,1085.0
34.63301000,-84.1972700,1088.0
34.63270000,-84.1969400,1093.0
34.63257000,-84.1967900,1096.0
34.63240000,-84.1965300,1101.0
34.63229000,-84.1963700,1104.0
34.63222000,-84.1962500,1106.0
34.63205000,-84.1960900,1107.0
34.63197000,-84.1959700,1109.0
34.63186000,-84.1958300,1111.0
34.63174000,-84.1957200,1112.0
34.63163000,-84.1956200,1114.0
34.63148000,-84.1955100,1118.0
34.63138000,-84.1954200,1119.0
34.63108000,-84.1952500,1122.0
34.63092000,-84.1951600,1125.0
34.63077000,-84.1950700,1128.0
34.63058000,-84.1950000,1130.0
34.63048000,-84.1949700,1130.0
34.63038000,-84.1949000,1131.0
34.63030000,-84.1948200,1133.0
34.63008000,-84.1946800,1133.0
34.62994000,-84.1945900,1133.0
34.62989000,-84.1945400,1133.0
34.62984000,-84.1944800,1133.0
34.62979000,-84.1944300,1133.0
34.62975000,-84.1944100,1133.0
34.62969000,-84.1943900,1133.0
34.62965000,-84.1943900,1133.0
34.62958000,-84.1944300,1132.0
34.62953000,-84.1944500,1132.0
34.62948000,-84.1944500,1132.0
34.62943000,-84.1944600,1132.0
34.62933000,-84.1944600,1133.0
34.62927000,-84.1944600,1134.0
34.62924000,-84.1944700,1134.0
34.62913000,-84.1945000,1134.0
34.62906000,-84.1945100,1134.0
34.62900000,-84.1945200,1134.0
34.62889000,-84.1945300,1135.0
34.62882000,-84.1945400,1135.0
34.62876000,-84.1945400,1135.0
34.62869000,-84.1945100,1136.0
34.62863000,-84.1944900,1137.0
34.62857000,-84.1944700,1138.0
34.62846000,-84.1944300,1138.0
34.62835000,-84.1944200,1138.0
34.62832000,-84.1944200,1138.0
34.62828000,-84.1944200,1138.0
34.62821000,-84.1944300,1137.0
34.62816000,-84.1944300,1137.0
34.62811000,-84.1944300,1137.0
34.62807000,-84.1944200,1137.0
34.62803000,-84.1944100,1137.0
34.62799000,-84.1943900,1137.0
34.62797000,-84.1943700,1138.0
34.62786000,-84.1943000,1139.0
34.62780000,-84.1942500,1141.0
34.62772000,-84.1941700,1142.0
34.62766000,-84.1941200,1143.0
34.62761000,-84.1940800,1144.0
34.62752000,-84.1940500,1145.0
34.62747000,-84.1940300,1145.0
34.62741000,-84.1940100,1145.0
34.62737000,-84.1940000,1145.0
34.62734000,-84.1939800,1145.0
34.62731000,-84.1939800,1145.0
34.62719000,-84.1939900,1145.0
34.62716000,-84.1939900,1145.0
34.62712000,-84.1939800,1145.0
34.62706000,-84.1939600,1145.0
34.62704000,-84.1939600,1145.0
34.62700000,-84.1939500,1146.0
34.62695000,-84.1939300,1146.0
34.62689000,-84.1939000,1147.0
34.62684000,-84.1938900,1146.0
34.62677000,-84.1938800,1146.0
34.62684000,-84.1938900,1146.0
34.62689000,-84.1939000,1147.0
34.62695000,-84.1939300,1146.0
34.62700000,-84.1939500,1146.0
34.62704000,-84.1939600,1145.0
34.62706000,-84.1939600,1145.0
34.62712000,-84.1939800,1145.0
34.62716000,-84.1939900,1145.0
34.62719000,-84.1939900,1145.0
34.62731000,-84.1939800,1145.0
34.62734000,-84.1939800,1145.0
34.62737000,-84.1940000,1145.0
34.62741000,-84.1940100,1145.0
34.62747000,-84.1940300,1145.0
34.62752000,-84.1940500,1145.0
34.62761000,-84.1940800,1144.0
34.62766000,-84.1941200,1143.0
34.62772000,-84.1941700,1142.0
34.62780000,-84.1942500,1141.0
34.62786000,-84.1943000,1139.0
34.62797000,-84.1943700,1138.0
34.62799000,-84.1943900,1137.0
34.62803000,-84.1944100,1137.0
34.62807000,-84.1944200,1137.0
34.62811000,-84.1944300,1137.0
34.62816000,-84.1944300,1137.0
34.62821000,-84.1944300,1137.0
34.62828000,-84.1944200,1138.0
34.62832000,-84.1944200,1138.0
34.62835000,-84.1944200,1138.0
34.62846000,-84.1944300,1138.0
34.62857000,-84.1944700,1138.0
34.62863000,-84.1944900,1137.0
34.62869000,-84.1945100,1136.0
34.62876000,-84.1945400,1135.0
34.62882000,-84.1945400,1135.0
34.62889000,-84.1945300,1135.0
34.62900000,-84.1945200,1134.0
34.62906000,-84.1945100,1134.0
34.62913000,-84.1945000,1134.0
34.62924000,-84.1944700,1134.0
34.62927000,-84.1944600,1134.0
34.62933000,-84.1944600,1133.0
34.62943000,-84.1944600,1132.0
34.62948000,-84.1944500,1132.0
34.62953000,-84.1944500,1132.0
34.62958000,-84.1944300,1132.0
34.62965000,-84.1943900,1133.0
34.62969000,-84.1943900,1133.0
34.62975000,-84.1944100,1133.0
34.62979000,-84.1944300,1133.0
34.62984000,-84.1944800,1133.0
34.62989000,-84.1945400,1133.0
34.62994000,-84.1945900,1133.0
34.63008000,-84.1946800,1133.0
34.63030000,-84.1948200,1133.0
34.63038000,-84.1949000,1131.0
34.63048000,-84.1949700,1130.0
34.63058000,-84.1950000,1130.0
34.63077000,-84.1950700,1128.0
34.63092000,-84.1951600,1125.0
34.63108000,-84.1952500,1122.0
34.63138000,-84.1954200,1119.0
34.63148000,-84.1955100,1118.0
34.63163000,-84.1956200,1114.0
34.63174000,-84.1957200,1112.0
34.63186000,-84.1958300,1111.0
34.63197000,-84.1959700,1109.0
34.63205000,-84.1960900,1107.0
34.63222000,-84.1962500,1106.0
34.63229000,-84.1963700,1104.0
34.63240000,-84.1965300,1101.0
34.63257000,-84.1967900,1096.0
34.63270000,-84.1969400,1093.0
34.63301000,-84.1972700,1088.0
34.63321000,-84.1974400,1085.0
34.63346000,-84.1975400,1082.0
34.63360000,-84.1976000,1079.0
34.63372000,-84.1976100,1080.0
34.63393000,-84.1976200,1080.0
34.63404000,-84.1976300,1078.0
34.63420000,-84.1976100,1077.0
34.63444000,-84.1976100,1073.0
34.63483000,-84.1975400,1073.0
34.63512000,-84.1975000,1074.0
34.63520000,-84.1974600,1075.0
34.63552000,-84.1974200,1072.0
34.63566000,-84.1973900,1072.0
34.63586000,-84.1974100,1069.0
34.63604000,-84.1974100,1066.0
34.63618000,-84.1973900,1063.0
34.63653000,-84.1973300,1056.0
34.63667000,-84.1973200,1053.0
34.63686000,-84.1972700,1052.0
34.63720000,-84.1971600,1050.0
34.63726000,-84.1971500,1049.0
34.63732000,-84.1971200,1048.0
34.63744000,-84.1970600,1046.0
34.63751000,-84.1970100,1045.0
34.63757000,-84.1969300,1045.0
34.63764000,-84.1968200,1044.0
34.63766000,-84.1967200,1043.0
34.63770000,-84.1966000,1041.0
34.63770000,-84.1965100,1040.0
