Latitude,Longitude,Elevation
34.78104000,-84.3118300,717.0
34.78102000,-84.3118900,717.0
34.78100000,-84.3119400,717.0
34.78097000,-84.3119800,717.0
34.78095000,-84.3120400,718.0
34.78094000,-84.3120900,718.0
34.78090000,-84.3121400,718.0
34.78086000,-84.3121400,719.0
34.78081000,-84.3121300,718.0
34.78076000,-84.3121200,718.0
34.78071000,-84.3121200,717.0
34.78066000,-84.3121200,716.0
34.78065000,-84.3121200,716.0
34.78054000,-84.3121300,715.0
34.78047000,-84.3121400,715.0
34.78043000,-84.3121300,715.0
34.78038000,-84.3121300,715.0
34.78033000,-84.3121100,714.0
34.78030000,-84.3120800,713.0
34.78026000,-84.3120400,713.0
34.78023000,-84.3119900,712.0
34.78021000,-84.3119300,712.0
34.78019000,-84.3118800,712.0
34.78017000,-84.3118300,711.0
34.78014000,-84.3117700,711.0
34.78010000,-84.3117000,711.0
34.78008000,-84.3116500,710.0
34.78005000,-84.3116100,709.0
34.78001000,-84.3115600,709.0
34.77998000,-84.3115200,708.0
34.77994000,-84.3114700,707.0
34.77991000,-84.3114400,707.0
34.77989000,-84.3114100,706.0
34.77981000,-84.3113300,705.0
34.77977000,-84.3112900,704.0
34.77973000,-84.3112500,703.0
34.77969000,-84.3112200,703.0
34.77965000,-84.3111900,703.0
34.77960000,-84.3111700,703.0
34.77956000,-84.3111500,703.0
34.77951000,-84.3111400,704.0
34.77946000,-84.3111300,704.0
34.77942000,-84.3111000,705.0
34.77939000,-84.3110600,705.0
34.77937000,-84.3110000,704.0
34.77935000,-84.3109500,704.0
34.77934000,-84.3108900,704.0
34.77934000,-84.3108200,703.0
34.77933000,-84.3107700,703.0
34.77933000,-84.3107100,702.0
34.77933000,-84.3106500,701.0
34.77933000,-84.3105900,700.0
34.77934000,-84.3105300,699.0
34.77934000,-84.3104700,699.0
34.77935000,-84.3104100,698.0
34.77937000,-84.3103500,696.0
34.77939000,-84.3102800,695.0
34.77940000,-84.3102300,694.0
34.77941000,-84.3101700,693.0
34.77942000,-84.3101200,693.0
34.77944000,-84.3100600,692.0
34.77946000,-84.3100100,691.0
34.77946000,-84.3100000,691.0
34.77953000,-84.3097700,689.0
