Latitude,Longitude,Elevation
33.81069000,-84.1615100,309.0
33.81079000,-84.1614200,309.0
33.81096000,-84.1612500,310.0
33.81105000,-84.1611500,310.0
33.81109000,-84.1611100,310.0
33.81113000,-84.1610700,310.0
33.81117000,-84.1610300,310.0
33.81120000,-84.1609800,311.0
33.81124000,-84.1609400,311.0
33.81128000,-84.1609000,311.0
33.81131000,-84.1608600,312.0
33.81135000,-84.1608200,312.0
33.81139000,-84.1607800,312.0
33.81142000,-84.1607400,312.0
33.81145000,-84.1606800,312.0
33.81146000,-84.1606200,312.0
33.81147000,-84.1605600,313.0
33.81147000,-84.1605100,313.0
33.81147000,-84.1604400,314.0
33.81149000,-84.1603800,314.0
33.81151000,-84.1603200,315.0
33.81154000,-84.1602800,315.0
33.81158000,-84.1602500,315.0
33.81161000,-84.1602000,315.0
33.81165000,-84.1601600,315.0
33.81169000,-84.1601300,315.0
33.81172000,-84.1600800,315.0
33.81174000,-84.1600300,316.0
33.81176000,-84.1599500,316.0
33.81176000,-84.1599000,316.0
33.81176000,-84.1598400,317.0
33.81177000,-84.1597600,317.0
33.81178000,-84.1597000,318.0
33.81178000,-84.1596400,318.0
33.81180000,-84.1595700,318.0
33.81182000,-84.1594700,318.0
33.81183000,-84.1594100,318.0
33.81184000,-84.1593600,318.0
33.81186000,-84.1593000,318.0
33.81187000,-84.1592400,318.0
33.81188000,-84.1591700,318.0
33.81189000,-84.1591000,317.0
33.81190000,-84.1590500,317.0
33.81190000,-84.1589800,317.0
33.81190000,-84.1589200,317.0
33.81191000,-84.1588400,317.0
33.81192000,-84.1587800,316.0
33.81192000,-84.1587100,316.0
33.81193000,-84.1586300,316.0
33.81193000,-84.1585700,316.0
33.81193000,-84.1585100,316.0
33.81193000,-84.1584400,316.0
33.81193000,-84.1583800,316.0
33.81193000,-84.1583100,315.0
33.81193000,-84.1582500,315.0
33.81193000,-84.1582000,315.0
33.81193000,-84.1581400,314.0
33.81192000,-84.1580700,314.0
33.81191000,-84.1580100,314.0
33.81190000,-84.1579500,314.0
33.81190000,-84.1579000,314.0
33.81190000,-84.1578400,314.0
33.81193000,-84.1577800,314.0
33.81195000,-84.1577200,313.0
33.81197000,-84.1576700,313.0
33.81198000,-84.1576000,312.0
33.81200000,-84.1575500,311.0
33.81200000,-84.1575300,311.0
33.81211000,-84.1571800,310.0
33.81212000,-84.1571200,310.0
33.81214000,-84.1570600,310.0
33.81216000,-84.1570000,310.0
33.81217000,-84.1569400,310.0
33.81219000,-84.1568700,310.0
33.81221000,-84.1568200,310.0
33.81223000,-84.1567500,310.0
33.81224000,-84.1567000,310.0
33.81226000,-84.1566400,310.0
33.81227000,-84.1565800,310.0
33.81228000,-84.1565200,309.0
33.81228000,-84.1564500,309.0
33.81229000,-84.1563900,308.0
33.81227000,-84.1563300,308.0
33.81225000,-84.1562800,308.0
33.81223000,-84.1562300,307.0
33.81221000,-84.1561700,307.0
33.81221000,-84.1561100,307.0
33.81223000,-84.1560500,307.0
33.81225000,-84.1559900,307.0
33.81226000,-84.1559300,307.0
33.81226000,-84.1558700,307.0
33.81226000,-84.1558100,307.0
33.81225000,-84.1557400,308.0
33.81227000,-84.1557000,308.0
33.81230000,-84.1556500,308.0
33.81231000,-84.1555900,308.0
33.81231000,-84.1555300,308.0
33.81231000,-84.1554700,308.0
33.81232000,-84.1554000,308.0
33.81232000,-84.1553400,309.0
33.81233000,-84.1552600,309.0
33.81233000,-84.1551900,309.0
33.81233000,-84.1551200,310.0
33.81234000,-84.1550600,310.0
33.81234000,-84.1550000,311.0
33.81234000,-84.1549200,311.0
33.81234000,-84.1548700,311.0
33.81232000,-84.1548100,311.0
33.81230000,-84.1547500,312.0
33.81228000,-84.1547000,312.0
33.81225000,-84.1546500,312.0
33.81222000,-84.1546100,312.0
33.81219000,-84.1545500,312.0
33.81216000,-84.1545100,313.0
33.81213000,-84.1544300,313.0
33.81210000,-84.1543800,313.0
33.81207000,-84.1543200,313.0
33.81204000,-84.1542600,313.0
33.81201000,-84.1542200,314.0
33.81197000,-84.1541700,314.0
33.81192000,-84.1541300,315.0
33.81188000,-84.1540800,315.0
33.81185000,-84.1540300,315.0
33.81182000,-84.1539900,315.0
33.81179000,-84.1539200,316.0
33.81177000,-84.1538500,316.0
33.81175000,-84.1538000,316.0
33.81164000,-84.1535000,318.0
33.81163000,-84.1534400,318.0
33.81162000,-84.1533800,318.0
33.81160000,-84.1533200,318.0
33.81158000,-84.1532500,318.0
33.81157000,-84.1532000,317.0
33.81157000,-84.1531400,317.0
33.81157000,-84.1530400,316.0
33.81156000,-84.1529800,316.0
33.81155000,-84.1529200,316.0
33.81154000,-84.1528600,317.0
33.81153000,-84.1528000,317.0
33.81151000,-84.1527300,317.0
33.81149000,-84.1526600,318.0
33.81146000,-84.1526200,318.0
33.81145000,-84.1525400,319.0
33.81143000,-84.1524700,319.0
33.81142000,-84.1524100,320.0
33.81142000,-84.1523400,320.0
33.81141000,-84.1522700,320.0
33.81140000,-84.1521900,320.0
33.81138000,-84.1521300,320.0
33.81136000,-84.1520700,321.0
33.81134000,-84.1520000,321.0
33.81133000,-84.1519300,321.0
33.81132000,-84.1518700,320.0
33.81132000,-84.1518100,319.0
33.81131000,-84.1517500,318.0
33.81130000,-84.1516700,318.0
33.81130000,-84.1515900,317.0
33.81129000,-84.1515200,317.0
33.81129000,-84.1514600,316.0
33.81128000,-84.1513800,316.0
33.81127000,-84.1513000,316.0
33.81126000,-84.1512300,316.0
33.81125000,-84.1511600,315.0
33.81124000,-84.1511100,315.0
33.81123000,-84.1510400,315.0
33.81121000,-84.1509700,314.0
33.81119000,-84.1509100,314.0
33.81118000,-84.1508600,314.0
33.81115000,-84.1508000,313.0
33.81114000,-84.1507300,312.0
33.81112000,-84.1506600,312.0
33.81112000,-84.1506100,311.0
33.81112000,-84.1505300,310.0
33.81113000,-84.1504700,309.0
33.81115000,-84.1504200,308.0
33.81118000,-84.1503500,307.0
33.81120000,-84.1503000,306.0
33.81122000,-84.1502300,305.0
33.81123000,-84.1501800,304.0
33.81122000,-84.1501200,304.0
33.81121000,-84.1500600,303.0
33.81119000,-84.1500100,303.0
33.81116000,-84.1499400,303.0
33.81113000,-84.1499000,304.0
33.81110000,-84.1498500,304.0
33.81107000,-84.1497900,305.0
33.81104000,-84.1497400,305.0
33.81101000,-84.1496700,306.0
33.81098000,-84.1496100,307.0
33.81093000,-84.1495400,308.0
33.81090000,-84.1495000,308.0
33.81084000,-84.1494500,309.0
33.81079000,-84.1494200,310.0
33.81074000,-84.1493800,310.0
33.81069000,-84.1493300,310.0
33.81068000,-84.1493100,310.0
33.81061000,-84.1491600,309.0
33.81061000,-84.1490800,308.0
33.81060000,-84.1490200,307.0
33.81059000,-84.1489500,306.0
33.81058000,-84.1489000,306.0
33.81058000,-84.1488100,304.0
33.81055000,-84.1487500,304.0
33.81054000,-84.1486900,303.0
33.81051000,-84.1486200,302.0
33.81048000,-84.1485600,302.0
33.81044000,-84.1485000,302.0
33.81043000,-84.1484500,302.0
33.81041000,-84.1484000,302.0
33.81039000,-84.1483500,303.0
33.81039000,-84.1482900,303.0
33.81038000,-84.1482300,303.0
33.81038000,-84.1481600,303.0
33.81037000,-84.1481000,303.0
33.81036000,-84.1480400,304.0
33.81034000,-84.1479800,304.0
33.81032000,-84.1479000,304.0
