Latitude,Longitude,Elevation
34.77771000,-84.7089700,813.0
34.77780000,-84.7089200,813.0
34.77792000,-84.7089500,812.0
34.77797000,-84.7089500,812.0
34.77806000,-84.7089700,812.0
34.77839000,-84.7090500,811.0
34.77841000,-84.7090400,812.0
34.77855000,-84.7090500,813.0
34.77864000,-84.7090200,814.0
34.77876000,-84.7089500,815.0
34.77880000,-84.7089300,816.0
34.77887000,-84.7088900,816.0
34.77891000,-84.7088600,816.0
34.77902000,-84.7088600,817.0
34.77920000,-84.7089100,819.0
34.77936000,-84.7089800,820.0
34.77947000,-84.7090500,821.0
34.77956000,-84.7091400,823.0
34.77966000,-84.7092600,826.0
34.77981000,-84.7093300,828.0
34.77993000,-84.7093800,830.0
34.78006000,-84.7094000,833.0
34.78022000,-84.7093900,837.0
34.78033000,-84.7094100,839.0
34.78044000,-84.7094100,841.0
34.78053000,-84.7094200,843.0
34.78059000,-84.7094100,844.0
34.78066000,-84.7093700,844.0
34.78070000,-84.7093300,845.0
34.78076000,-84.7092800,846.0
34.78083000,-84.7092400,847.0
34.78088000,-84.7092300,848.0
34.78093000,-84.7092600,848.0
34.78104000,-84.7092900,850.0
34.78112000,-84.7093000,851.0
34.78118000,-84.7093100,852.0
34.78124000,-84.7092800,853.0
34.78127000,-84.7091300,854.0
34.78128000,-84.7090100,854.0
34.78126000,-84.7089000,854.0
34.78129000,-84.7087900,854.0
34.78135000,-84.7085800,853.0
34.78143000,-84.7084900,854.0
34.78151000,-84.7084500,855.0
34.78155000,-84.7084300,855.0
34.78159000,-84.7083600,855.0
34.78163000,-84.7082400,854.0
34.78166000,-84.7081900,854.0
34.78169000,-84.7080900,854.0
34.78174000,-84.7079900,853.0
34.78180000,-84.7079000,853.0
34.78184000,-84.7078200,853.0
34.78188000,-84.7077500,853.0
34.78197000,-84.7077000,854.0
34.78208000,-84.7076700,856.0
34.78219000,-84.7076200,857.0
34.78227000,-84.7075700,857.0
34.78237000,-84.7074800,856.0
34.78246000,-84.7073600,856.0
34.78255000,-84.7072900,857.0
34.78261000,-84.7072500,857.0
34.78270000,-84.7072300,857.0
34.78279000,-84.7072400,858.0
34.78285000,-84.7072600,858.0
34.78295000,-84.7073300,858.0
34.78300000,-84.7072900,858.0
34.78303000,-84.7072200,857.0
34.78306000,-84.7071100,854.0
34.78309000,-84.7069900,852.0
34.78310000,-84.7068800,850.0
34.78310000,-84.7067800,849.0
34.78310000,-84.7067000,848.0
34.78311000,-84.7066100,846.0
34.78312000,-84.7065400,844.0
34.78312000,-84.7064700,842.0
34.78311000,-84.7063900,840.0
34.78310000,-84.7063000,837.0
34.78308000,-84.7061900,834.0
34.78306000,-84.7060900,831.0
34.78306000,-84.7060000,828.0
34.78308000,-84.7059100,825.0
34.78309000,-84.7058000,822.0
34.78310000,-84.7057300,821.0
34.78311000,-84.7056600,819.0
34.78313000,-84.7055800,817.0
34.78318000,-84.7055500,816.0
34.78325000,-84.7055500,815.0
34.78331000,-84.7055800,815.0
34.78335000,-84.7056800,817.0
34.78338000,-84.7057400,817.0
34.78343000,-84.7058100,818.0
34.78349000,-84.7059000,819.0
34.78354000,-84.7059900,821.0
34.78358000,-84.7060500,822.0
34.78364000,-84.7061100,822.0
34.78371000,-84.7062200,822.0
34.78378000,-84.7063000,821.0
34.78384000,-84.7064000,821.0
34.78393000,-84.7064600,819.0
34.78399000,-84.7065000,817.0
34.78407000,-84.7065300,814.0
34.78415000,-84.7065500,811.0
34.78419000,-84.7065800,810.0
34.78423000,-84.7066200,808.0
34.78424000,-84.7066800,809.0
34.78423000,-84.7067700,813.0
34.78415000,-84.7068000,818.0
34.78410000,-84.7068400,821.0
34.78406000,-84.7070000,827.0
34.78404000,-84.7070800,830.0
34.78403000,-84.7071800,832.0
34.78403000,-84.7072500,834.0
34.78404000,-84.7073500,836.0
34.78407000,-84.7074300,836.0
34.78412000,-84.7075100,836.0
34.78416000,-84.7075800,834.0
34.78418000,-84.7076900,834.0
34.78420000,-84.7078100,834.0
34.78421000,-84.7078800,834.0
34.78423000,-84.7079500,834.0
34.78424000,-84.7080400,834.0
34.78425000,-84.7081100,834.0
34.78426000,-84.7082400,834.0
34.78427000,-84.7083700,834.0
34.78428000,-84.7085200,832.0
34.78429000,-84.7086000,831.0
34.78429000,-84.7086900,829.0
34.78417000,-84.7088200,835.0
34.78408000,-84.7088700,839.0
34.78393000,-84.7089700,846.0
34.78382000,-84.7090400,851.0
34.78377000,-84.7091300,852.0
34.78370000,-84.7091700,854.0
34.78365000,-84.7092400,856.0
34.78361000,-84.7093600,856.0
34.78358000,-84.7095300,855.0
34.78356000,-84.7095900,856.0
34.78349000,-84.7096500,859.0
34.78339000,-84.7097500,861.0
34.78328000,-84.7098400,862.0
34.78321000,-84.7099000,861.0
34.78317000,-84.7099400,861.0
34.78311000,-84.7099700,861.0
34.78306000,-84.7099400,862.0
34.78303000,-84.7098700,864.0
34.78301000,-84.7097900,866.0
34.78299000,-84.7096700,868.0
34.78293000,-84.7095300,870.0
34.78290000,-84.7094600,871.0
34.78284000,-84.7094100,871.0
34.78280000,-84.7093600,872.0
34.78287000,-84.7095100,870.0
34.78291000,-84.7096400,868.0
34.78294000,-84.7097200,867.0
34.78297000,-84.7098500,864.0
34.78300000,-84.7099500,861.0
34.78304000,-84.7100700,859.0
34.78309000,-84.7101900,857.0
34.78312000,-84.7102600,855.0
34.78315000,-84.7103300,854.0
34.78315000,-84.7104000,853.0
34.78315000,-84.7104700,852.0
34.78318000,-84.7105400,850.0
34.78320000,-84.7106000,849.0
34.78323000,-84.7106900,846.0
34.78324000,-84.7107400,845.0
34.78325000,-84.7108000,844.0
34.78323000,-84.7108500,842.0
34.78305000,-84.7108300,844.0
34.78294000,-84.7107800,844.0
34.78284000,-84.7107200,844.0
34.78276000,-84.7106200,847.0
34.78267000,-84.7104800,849.0
34.78262000,-84.7103600,851.0
34.78257000,-84.7102600,854.0
34.78249000,-84.7101900,854.0
34.78243000,-84.7101300,854.0
34.78236000,-84.7100800,854.0
34.78227000,-84.7100400,853.0
34.78216000,-84.7100100,852.0
34.78210000,-84.7099900,852.0
34.78205000,-84.7100000,851.0
34.78192000,-84.7100100,850.0
34.78178000,-84.7100200,848.0
34.78163000,-84.7100400,847.0
34.78152000,-84.7100400,846.0
34.78145000,-84.7100500,845.0
34.78138000,-84.7100600,845.0
34.78132000,-84.7100600,843.0
34.78126000,-84.7100500,842.0
34.78119000,-84.7100400,840.0
34.78113000,-84.7100400,838.0
34.78104000,-84.7100200,837.0
34.78098000,-84.7100200,835.0
34.78090000,-84.7100200,833.0
34.78082000,-84.7100300,830.0
34.78076000,-84.7100300,830.0
34.78068000,-84.7100200,830.0
34.78063000,-84.7100200,829.0
34.78057000,-84.7100300,829.0
34.78046000,-84.7100500,828.0
34.78035000,-84.7100600,828.0
34.78029000,-84.7100700,828.0
34.78022000,-84.7100800,828.0
34.78012000,-84.7100800,827.0
34.78001000,-84.7100800,827.0
34.77994000,-84.7100800,826.0
34.77989000,-84.7100700,825.0
34.77982000,-84.7100800,824.0
34.77974000,-84.7100700,823.0
34.77968000,-84.7100500,822.0
34.77961000,-84.7100200,822.0
34.77955000,-84.7099800,821.0
34.77949000,-84.7099100,820.0
34.77944000,-84.7098300,820.0
34.77940000,-84.7097300,820.0
34.77933000,-84.7096300,819.0
34.77927000,-84.7095700,818.0
34.77917000,-84.7095300,817.0
34.77911000,-84.7095000,817.0
34.77901000,-84.7094900,816.0
34.77890000,-84.7094800,815.0
34.77874000,-84.7094700,813.0
34.77860000,-84.7094400,812.0
34.77852000,-84.7093900,811.0
34.77848000,-84.7093200,810.0
34.77845000,-84.7092300,811.0
34.77843000,-84.7091200,812.0
34.77839000,-84.7090500,811.0
34.77831000,-84.7090300,811.0
34.77806000,-84.7089800,812.0
34.77798000,-84.7089600,812.0
34.77788000,-84.7089400,813.0
34.77780000,-84.7089200,813.0
34.77771000,-84.7089700,813.0
