Latitude,Longitude,Elevation
34.14790000,-84.7067600,300.0
34.14792000,-84.7067400,300.0
34.14794000,-84.7066900,300.0
34.14795000,-84.7066700,300.0
34.14795000,-84.7066500,300.0
34.14796000,-84.7066100,300.0
34.14798000,-84.7065400,300.0
34.14799000,-84.7064700,300.0
34.14800000,-84.7064000,300.0
34.14800000,-84.7063300,300.0
34.14799000,-84.7062700,300.0
34.14801000,-84.7062200,300.0
34.14804000,-84.7061700,300.0
34.14808000,-84.7061300,299.0
34.14813000,-84.7061200,299.0
34.14819000,-84.7061200,299.0
34.14824000,-84.7061200,298.0
34.14830000,-84.7061200,298.0
34.14836000,-84.7061000,297.0
34.14843000,-84.7060800,297.0
34.14848000,-84.7060500,296.0
34.14849000,-84.7060000,296.0
34.14847000,-84.7059400,296.0
34.14846000,-84.7058800,296.0
34.14844000,-84.7058200,296.0
34.14845000,-84.7057500,296.0
34.14846000,-84.7056800,296.0
34.14848000,-84.7056200,295.0
34.14850000,-84.7055600,295.0
34.14853000,-84.7055000,294.0
34.14856000,-84.7054500,293.0
34.14860000,-84.7054000,292.0
34.14862000,-84.7053400,291.0
34.14866000,-84.7053000,291.0
34.14868000,-84.7052400,290.0
34.14873000,-84.7052300,290.0
34.14878000,-84.7052600,290.0
34.14883000,-84.7053000,290.0
34.14888000,-84.7053400,290.0
34.14893000,-84.7053700,290.0
34.14896000,-84.7054100,291.0
34.14899000,-84.7054700,291.0
34.14901000,-84.7055300,291.0
34.14902000,-84.7055900,292.0
34.14904000,-84.7056500,292.0
34.14905000,-84.7057100,292.0
34.14906000,-84.7057800,292.0
34.14907000,-84.7058400,293.0
34.14909000,-84.7059000,293.0
34.14910000,-84.7059600,293.0
34.14913000,-84.7060200,293.0
34.14914000,-84.7060800,293.0
34.14917000,-84.7061200,293.0
34.14922000,-84.7061100,292.0
34.14926000,-84.7060800,292.0
34.14931000,-84.7060400,292.0
34.14935000,-84.7060000,292.0
34.14940000,-84.7059700,292.0
34.14945000,-84.7059300,292.0
34.14949000,-84.7058900,293.0
34.14954000,-84.7058700,293.0
34.14959000,-84.7058300,294.0
34.14962000,-84.7057800,294.0
34.14966000,-84.7057400,294.0
34.14970000,-84.7056900,293.0
34.14973000,-84.7056400,293.0
34.14976000,-84.7055900,293.0
34.14980000,-84.7055500,292.0
34.14982000,-84.7054900,292.0
34.14986000,-84.7054400,292.0
34.14987000,-84.7053700,291.0
34.14991000,-84.7053300,291.0
34.14995000,-84.7052800,290.0
34.14999000,-84.7052400,289.0
34.15003000,-84.7052000,289.0
34.15009000,-84.7051800,289.0
34.15013000,-84.7051400,289.0
34.15018000,-84.7051100,288.0
34.15023000,-84.7050800,288.0
34.15029000,-84.7050500,288.0
