Latitude,Longitude,Elevation
33.75255000,-84.6282700,293.0
33.75256000,-84.6282400,293.0
33.75255000,-84.6280700,292.0
33.75257000,-84.6278900,290.0
33.75255000,-84.6278300,289.0
33.75245000,-84.6277600,288.0
33.75234000,-84.6276600,286.0
33.75227000,-84.6274900,285.0
33.75221000,-84.6273600,285.0
33.75213000,-84.6272300,284.0
33.75208000,-84.6271400,281.0
33.75202000,-84.6271200,281.0
33.75171000,-84.6272100,279.0
33.75166000,-84.6271800,278.0
33.75161000,-84.6271100,279.0
33.75159000,-84.6269900,279.0
33.75160000,-84.6268200,278.0
33.75162000,-84.6266200,275.0
33.75168000,-84.6263300,272.0
33.75159000,-84.6262000,274.0
33.75156000,-84.6259000,272.0
33.75154000,-84.6257800,272.0
33.75144000,-84.6254300,271.0
33.75126000,-84.6250200,273.0
33.75113000,-84.6249000,275.0
33.75100000,-84.6247800,276.0
33.75035000,-84.6244600,273.0
33.75033000,-84.6244500,273.0
33.74990000,-84.6243000,275.0
33.74889000,-84.6241200,272.0
33.74887000,-84.6241200,272.0
33.74851000,-84.6241500,274.0
33.74842000,-84.6240900,273.0
33.74831000,-84.6239600,272.0
33.74812000,-84.6237900,272.0
33.74791000,-84.6236500,270.0
33.74776000,-84.6236600,270.0
33.74766000,-84.6236100,270.0
33.74749000,-84.6235500,271.0
33.74720000,-84.6230600,265.0
33.74696000,-84.6229400,261.0
33.74681000,-84.6229100,261.0
33.74660000,-84.6229100,262.0
33.74616000,-84.6229800,262.0
33.74532000,-84.6234800,264.0
33.74520000,-84.6235000,265.0
33.74510000,-84.6234500,264.0
33.74499000,-84.6234200,264.0
33.74485000,-84.6233600,261.0
33.74477000,-84.6233300,260.0
33.74468000,-84.6233300,259.0
33.74456000,-84.6233500,257.0
33.74396000,-84.6236500,253.0
33.74354000,-84.6240000,254.0
33.74336000,-84.6242800,256.0
33.74312000,-84.6244800,255.0
33.74297000,-84.6246300,256.0
33.74253000,-84.6249600,254.0
33.74233000,-84.6250700,254.0
33.74215000,-84.6251500,256.0
33.74204000,-84.6252400,258.0
33.74161000,-84.6252500,258.0
33.74152000,-84.6252300,257.0
33.74161000,-84.6252500,258.0
33.74204000,-84.6252400,258.0
33.74215000,-84.6251500,256.0
33.74233000,-84.6250700,254.0
33.74253000,-84.6249600,254.0
33.74297000,-84.6246300,256.0
33.74312000,-84.6244800,255.0
33.74336000,-84.6242800,256.0
33.74354000,-84.6240000,254.0
33.74396000,-84.6236500,253.0
33.74456000,-84.6233500,257.0
33.74468000,-84.6233300,259.0
33.74477000,-84.6233300,260.0
33.74485000,-84.6233600,261.0
33.74499000,-84.6234200,264.0
33.74510000,-84.6234500,264.0
33.74520000,-84.6235000,265.0
33.74532000,-84.6234800,264.0
33.74616000,-84.6229800,262.0
33.74660000,-84.6229100,262.0
33.74681000,-84.6229100,261.0
33.74696000,-84.6229400,261.0
33.74720000,-84.6230600,265.0
33.74749000,-84.6235500,271.0
33.74766000,-84.6236100,270.0
33.74776000,-84.6236600,270.0
33.74791000,-84.6236500,270.0
33.74812000,-84.6237900,272.0
33.74831000,-84.6239600,272.0
33.74842000,-84.6240900,273.0
33.74851000,-84.6241500,274.0
33.74887000,-84.6241200,272.0
33.74889000,-84.6241200,272.0
33.74990000,-84.6243000,275.0
33.75033000,-84.6244500,273.0
33.75035000,-84.6244600,273.0
33.75100000,-84.6247800,276.0
33.75113000,-84.6249000,275.0
33.75126000,-84.6250200,273.0
33.75144000,-84.6254300,271.0
33.75154000,-84.6257800,272.0
33.75156000,-84.6259000,272.0
33.75159000,-84.6262000,274.0
33.75168000,-84.6263300,272.0
33.75162000,-84.6266200,275.0
33.75160000,-84.6268200,278.0
33.75159000,-84.6269900,279.0
33.75161000,-84.6271100,279.0
33.75166000,-84.6271800,278.0
33.75171000,-84.6272100,279.0
33.75202000,-84.6271200,281.0
33.75208000,-84.6271400,281.0
33.75213000,-84.6272300,284.0
33.75221000,-84.6273600,285.0
33.75227000,-84.6274900,285.0
33.75234000,-84.6276600,286.0
33.75245000,-84.6277600,288.0
33.75255000,-84.6278300,289.0
33.75257000,-84.6278900,290.0
33.75255000,-84.6280700,292.0
33.75256000,-84.6282400,293.0
33.75255000,-84.6282700,293.0
