Latitude,Longitude,Elevation
33.75333000,-84.6286100,291.0
33.75332000,-84.6285900,291.0
33.75328000,-84.6285500,291.0
33.75325000,-84.6285100,291.0
33.75320000,-84.6284900,291.0
33.75316000,-84.6284700,292.0
33.75313000,-84.6284600,292.0
33.75305000,-84.6283600,293.0
33.75302000,-84.6283200,292.0
33.75298000,-84.6282900,292.0
33.75293000,-84.6282800,293.0
33.75288000,-84.6282700,293.0
33.75284000,-84.6282800,293.0
33.75279000,-84.6282900,293.0
33.75277000,-84.6282900,293.0
33.75266000,-84.6283300,293.0
33.75257000,-84.6283600,293.0
33.75252000,-84.6283600,293.0
33.75249000,-84.6283500,293.0
33.75247000,-84.6283400,293.0
33.75245000,-84.6283400,293.0
33.75243000,-84.6283400,292.0
33.75239000,-84.6283400,292.0
33.75236000,-84.6283700,291.0
33.75232000,-84.6284400,291.0
33.75229000,-84.6286000,290.0
33.75229000,-84.6286300,290.0
33.75227000,-84.6286500,290.0
33.75227000,-84.6286900,291.0
33.75223000,-84.6287700,291.0
33.75219000,-84.6288100,291.0
33.75213000,-84.6288200,291.0
33.75211000,-84.6288300,291.0
33.75207000,-84.6288300,291.0
33.75199000,-84.6288000,291.0
33.75192000,-84.6287700,290.0
33.75188000,-84.6287700,290.0
33.75184000,-84.6287600,290.0
33.75179000,-84.6287600,290.0
33.75175000,-84.6287700,290.0
33.75172000,-84.6287900,290.0
33.75171000,-84.6288200,291.0
33.75166000,-84.6288100,290.0
33.75160000,-84.6288200,290.0
33.75157000,-84.6288300,290.0
33.75152000,-84.6288400,290.0
33.75148000,-84.6288300,290.0
33.75145000,-84.6288100,290.0
33.75141000,-84.6287500,290.0
33.75136000,-84.6286500,289.0
33.75135000,-84.6286000,288.0
33.75133000,-84.6285900,288.0
33.75131000,-84.6286000,288.0
33.75130000,-84.6286100,288.0
33.75115000,-84.6287400,288.0
33.75105000,-84.6288100,288.0
33.75102000,-84.6288200,287.0
33.75099000,-84.6288300,287.0
33.75095000,-84.6288300,287.0
33.75090000,-84.6288400,286.0
33.75084000,-84.6288600,286.0
33.75071000,-84.6289900,286.0
33.75067000,-84.6290500,286.0
33.75063000,-84.6291200,286.0
33.75061000,-84.6291700,287.0
33.75059000,-84.6292400,287.0
33.75057000,-84.6293200,288.0
33.75056000,-84.6293900,289.0
33.75055000,-84.6294300,289.0
33.75049000,-84.6295500,291.0
33.75047000,-84.6295900,292.0
33.75045000,-84.6296200,293.0
33.75045000,-84.6296400,293.0
33.75043000,-84.6296900,293.0
33.75040000,-84.6297300,294.0
33.75035000,-84.6297800,295.0
33.75032000,-84.6297900,296.0
33.75025000,-84.6298000,297.0
33.75023000,-84.6298000,297.0
33.75021000,-84.6297800,297.0
33.75016000,-84.6297200,298.0
33.75007000,-84.6296500,299.0
33.75005000,-84.6296300,300.0
33.75004000,-84.6295900,300.0
33.75004000,-84.6295400,300.0
33.75005000,-84.6294500,299.0
