Latitude,Longitude,Elevation
33.75329000,-84.6284900,290.0
33.75326000,-84.6285100,291.0
33.75321000,-84.6284800,291.0
33.75316000,-84.6284500,292.0
33.75311000,-84.6284100,292.0
33.75306000,-84.6283700,292.0
33.75301000,-84.6283500,293.0
33.75296000,-84.6283000,293.0
33.75291000,-84.6282900,293.0
33.75285000,-84.6282600,293.0
33.75279000,-84.6282800,293.0
33.75273000,-84.6282800,293.0
33.75267000,-84.6283000,293.0
33.75261000,-84.6283200,293.0
33.75255000,-84.6283200,293.0
33.75249000,-84.6283200,293.0
33.75244000,-84.6283100,293.0
33.75239000,-84.6283300,292.0
33.75235000,-84.6283700,291.0
33.75231000,-84.6284100,291.0
33.75229000,-84.6284800,290.0
33.75227000,-84.6285400,290.0
33.75225000,-84.6286100,290.0
33.75224000,-84.6286800,290.0
33.75222000,-84.6287500,291.0
33.75220000,-84.6288100,292.0
33.75215000,-84.6288400,292.0
33.75209000,-84.6288400,291.0
33.75203000,-84.6288100,291.0
33.75198000,-84.6288000,291.0
33.75192000,-84.6287900,290.0
33.75187000,-84.6287800,290.0
33.75182000,-84.6287800,290.0
33.75177000,-84.6288000,290.0
33.75172000,-84.6288000,290.0
33.75168000,-84.6287900,290.0
33.75164000,-84.6288200,290.0
33.75159000,-84.6288200,290.0
33.75155000,-84.6288400,290.0
33.75151000,-84.6288300,290.0
33.75145000,-84.6288100,290.0
33.75140000,-84.6287800,290.0
33.75138000,-84.6287200,289.0
33.75135000,-84.6286600,289.0
33.75132000,-84.6286200,288.0
33.75126000,-84.6286200,288.0
33.75121000,-84.6286500,288.0
33.75118000,-84.6287000,288.0
33.75113000,-84.6287400,288.0
33.75110000,-84.6287800,288.0
33.75104000,-84.6288000,288.0
33.75098000,-84.6288300,287.0
33.75092000,-84.6288500,286.0
33.75087000,-84.6288700,286.0
33.75081000,-84.6288900,285.0
33.75077000,-84.6289400,285.0
33.75073000,-84.6289800,286.0
33.75070000,-84.6290300,286.0
33.75066000,-84.6290700,286.0
33.75064000,-84.6291300,286.0
33.75061000,-84.6291900,287.0
33.75060000,-84.6292600,288.0
33.75059000,-84.6293000,288.0
33.75058000,-84.6293300,288.0
33.75056000,-84.6293900,289.0
33.75053000,-84.6294500,290.0
33.75051000,-84.6295100,291.0
33.75048000,-84.6295700,292.0
33.75045000,-84.6296200,293.0
33.75043000,-84.6296900,293.0
33.75039000,-84.6297300,294.0
33.75036000,-84.6297700,295.0
33.75030000,-84.6298000,296.0
33.75025000,-84.6298000,297.0
33.75020000,-84.6297700,298.0
33.75015000,-84.6297100,298.0
33.75010000,-84.6296600,299.0
33.75006000,-84.6296100,299.0
33.75003000,-84.6295500,300.0
33.75003000,-84.6294900,300.0
33.75005000,-84.6294300,299.0
33.75008000,-84.6293800,298.0
33.75011000,-84.6293200,296.0
33.75013000,-84.6292600,295.0
33.75015000,-84.6291900,293.0
33.75017000,-84.6291300,292.0
33.75020000,-84.6290700,291.0
33.75022000,-84.6290100,290.0
33.75025000,-84.6289500,289.0
33.75027000,-84.6288900,289.0
33.75029000,-84.6288200,289.0
33.75029000,-84.6287600,289.0
33.75029000,-84.6286900,290.0
33.75030000,-84.6286300,290.0
33.75030000,-84.6285600,291.0
33.75030000,-84.6284900,291.0
33.75032000,-84.6284200,292.0
33.75034000,-84.6283600,292.0
33.75036000,-84.6283000,292.0
33.75040000,-84.6282600,292.0
33.75043000,-84.6282100,291.0
33.75048000,-84.6281700,291.0
33.75049000,-84.6281000,291.0
33.75052000,-84.6280400,292.0
33.75053000,-84.6279700,293.0
33.75055000,-84.6279000,293.0
33.75056000,-84.6278300,294.0
33.75057000,-84.6277600,295.0
33.75057000,-84.6277000,296.0
33.75057000,-84.6276300,296.0
33.75056000,-84.6275700,297.0
33.75058000,-84.6275000,297.0
33.75061000,-84.6274500,297.0
33.75064000,-84.6273900,296.0
33.75067000,-84.6273400,296.0
33.75071000,-84.6272900,295.0
33.75073000,-84.6272300,295.0
33.75075000,-84.6271700,295.0
33.75078000,-84.6271200,294.0
33.75080000,-84.6270600,294.0
33.75083000,-84.6270000,293.0
33.75085000,-84.6269400,292.0
33.75088000,-84.6268800,291.0
33.75090000,-84.6268200,291.0
33.75092000,-84.6267500,290.0
33.75093000,-84.6266800,289.0
33.75095000,-84.6266100,289.0
33.75096000,-84.6265400,288.0
33.75098000,-84.6264700,288.0
33.75099000,-84.6264000,287.0
33.75099000,-84.6263500,287.0
33.75094000,-84.6263200,287.0
33.75090000,-84.6262800,287.0
33.75085000,-84.6262400,287.0
33.75083000,-84.6261800,286.0
33.75080000,-84.6261300,286.0
33.75076000,-84.6260700,286.0
33.75073000,-84.6260200,286.0
33.75068000,-84.6259600,287.0
33.75065000,-84.6259100,287.0
33.75061000,-84.6258500,287.0
33.75059000,-84.6257900,287.0
33.75056000,-84.6257500,287.0
33.75050000,-84.6257300,288.0
33.75045000,-84.6257200,288.0
33.75039000,-84.6257300,290.0
33.75033000,-84.6257300,291.0
33.75027000,-84.6257400,292.0
33.75021000,-84.6257400,292.0
33.75015000,-84.6257400,293.0
33.75009000,-84.6257500,294.0
33.75003000,-84.6257300,294.0
33.74998000,-84.6257400,295.0
33.74992000,-84.6257400,295.0
33.74986000,-84.6257400,296.0
33.74980000,-84.6257300,296.0
33.74974000,-84.6257500,297.0
33.74969000,-84.6257300,297.0
33.74963000,-84.6257100,297.0
33.74959000,-84.6256600,297.0
33.74953000,-84.6256400,297.0
33.74949000,-84.6255900,297.0
33.74943000,-84.6255700,298.0
33.74938000,-84.6255500,298.0
33.74932000,-84.6255300,298.0
33.74927000,-84.6255000,298.0
33.74923000,-84.6254500,298.0
33.74920000,-84.6253900,297.0
33.74919000,-84.6253500,297.0
33.74918000,-84.6253300,297.0
33.74915000,-84.6252700,296.0
33.74910000,-84.6252400,295.0
33.74905000,-84.6252100,293.0
33.74899000,-84.6251800,291.0
33.74894000,-84.6251600,290.0
33.74889000,-84.6251300,288.0
