Latitude,Longitude,Elevation
33.75330000,-84.6285300,290.0
33.75329000,-84.6285400,291.0
33.75325000,-84.6285000,291.0
33.75319000,-84.6284800,291.0
33.75312000,-84.6284500,292.0
33.75307000,-84.6283600,292.0
33.75301000,-84.6283000,292.0
33.75291000,-84.6282900,293.0
33.75279000,-84.6283100,293.0
33.75270000,-84.6283400,293.0
33.75263000,-84.6283600,293.0
33.75259000,-84.6282700,293.0
33.75256000,-84.6282400,293.0
33.75255000,-84.6280700,292.0
33.75257000,-84.6279100,290.0
33.75270000,-84.6277500,289.0
33.75274000,-84.6277100,288.0
33.75278000,-84.6276700,288.0
33.75281000,-84.6276300,287.0
33.75285000,-84.6275900,286.0
33.75288000,-84.6275300,285.0
33.75292000,-84.6275000,284.0
33.75296000,-84.6274600,284.0
33.75301000,-84.6274300,283.0
33.75305000,-84.6273900,283.0
33.75308000,-84.6273500,283.0
33.75309000,-84.6273000,283.0
33.75309000,-84.6272900,283.0
33.75307000,-84.6272900,283.0
33.75306000,-84.6271500,283.0
33.75303000,-84.6270100,282.0
33.75303000,-84.6269400,282.0
33.75304000,-84.6268700,282.0
33.75310000,-84.6266700,280.0
33.75336000,-84.6264000,279.0
33.75359000,-84.6261800,281.0
33.75372000,-84.6260900,282.0
33.75391000,-84.6260900,284.0
33.75411000,-84.6261700,286.0
33.75428000,-84.6262700,286.0
33.75443000,-84.6263900,286.0
33.75460000,-84.6264900,284.0
33.75469000,-84.6265100,283.0
33.75473000,-84.6264500,283.0
33.75473000,-84.6263700,282.0
33.75470000,-84.6262700,283.0
33.75465000,-84.6261200,283.0
33.75455000,-84.6259800,282.0
33.75442000,-84.6258700,281.0
33.75431000,-84.6257900,280.0
33.75420000,-84.6257100,278.0
33.75397000,-84.6255300,273.0
33.75386000,-84.6254700,272.0
33.75384000,-84.6254200,271.0
33.75384000,-84.6253800,271.0
33.75388000,-84.6252200,270.0
33.75390000,-84.6249600,271.0
33.75393000,-84.6248100,271.0
33.75395000,-84.6246700,270.0
33.75396000,-84.6245600,270.0
33.75397000,-84.6242600,269.0
33.75399000,-84.6240600,269.0
33.75397000,-84.6239700,269.0
33.75398000,-84.6238900,268.0
33.75402000,-84.6236400,270.0
33.75402000,-84.6235000,271.0
33.75403000,-84.6234200,272.0
33.75409000,-84.6232400,272.0
33.75412000,-84.6230100,271.0
33.75421000,-84.6227800,270.0
33.75432000,-84.6225600,268.0
33.75447000,-84.6224000,268.0
33.75462000,-84.6222400,269.0
33.75472000,-84.6222200,269.0
33.75490000,-84.6222500,272.0
33.75507000,-84.6223200,272.0
33.75517000,-84.6223300,271.0
33.75525000,-84.6223600,269.0
33.75530000,-84.6224300,269.0
33.75533000,-84.6225500,270.0
33.75532000,-84.6226400,271.0
33.75531000,-84.6227500,272.0
33.75538000,-84.6226800,270.0
33.75545000,-84.6225500,266.0
33.75554000,-84.6224600,263.0
33.75568000,-84.6223000,260.0
33.75577000,-84.6222100,259.0
33.75596000,-84.6220100,265.0
33.75606000,-84.6218800,270.0
33.75600000,-84.6218800,269.0
33.75593000,-84.6219100,268.0
33.75582000,-84.6218500,269.0
33.75571000,-84.6217900,272.0
33.75560000,-84.6217200,275.0
33.75547000,-84.6216600,275.0
33.75529000,-84.6215500,274.0
33.75519000,-84.6215000,274.0
33.75509000,-84.6214200,274.0
33.75501000,-84.6213700,275.0
33.75498000,-84.6213500,275.0
33.75497000,-84.6212900,276.0
33.75499000,-84.6211700,278.0
33.75506000,-84.6210000,282.0
33.75521000,-84.6207200,287.0
33.75528000,-84.6205400,289.0
33.75531000,-84.6203200,290.0
33.75531000,-84.6200700,295.0
33.75526000,-84.6198900,300.0
33.75516000,-84.6196700,305.0
33.75511000,-84.6194700,307.0
33.75505000,-84.6193400,306.0
33.75500000,-84.6192300,305.0
33.75492000,-84.6190700,304.0
33.75488000,-84.6189400,304.0
33.75483000,-84.6188100,304.0
33.75483000,-84.6186600,306.0
33.75479000,-84.6183500,309.0
33.75476000,-84.6182600,310.0
33.75472000,-84.6181800,311.0
33.75464000,-84.6181200,312.0
33.75455000,-84.6180800,312.0
33.75448000,-84.6180800,312.0
33.75441000,-84.6180600,313.0
33.75434000,-84.6180300,313.0
33.75424000,-84.6179700,314.0
33.75415000,-84.6178800,315.0
33.75403000,-84.6178100,317.0
33.75392000,-84.6177400,319.0
33.75379000,-84.6176400,321.0
33.75363000,-84.6175000,324.0
33.75355000,-84.6174200,326.0
33.75341000,-84.6172700,328.0
33.75329000,-84.6171600,329.0
33.75326000,-84.6171200,329.0
33.75319000,-84.6170800,330.0
33.75309000,-84.6170100,330.0
33.75298000,-84.6170000,332.0
33.75287000,-84.6169600,333.0
33.75275000,-84.6169700,335.0
33.75261000,-84.6170100,338.0
33.75255000,-84.6170800,340.0
33.75251000,-84.6172000,342.0
33.75248000,-84.6173000,343.0
33.75245000,-84.6174500,344.0
33.75241000,-84.6175500,344.0
33.75234000,-84.6176400,344.0
33.75224000,-84.6177000,345.0
33.75215000,-84.6177300,345.0
33.75204000,-84.6177000,345.0
33.75196000,-84.6176500,346.0
33.75185000,-84.6176200,347.0
33.75175000,-84.6176700,347.0
33.75165000,-84.6177200,347.0
33.75157000,-84.6177900,348.0
33.75153000,-84.6179100,348.0
33.75152000,-84.6180300,349.0
33.75149000,-84.6181400,350.0
33.75147000,-84.6182400,351.0
33.75145000,-84.6183000,352.0
33.75145000,-84.6185000,352.0
33.75145000,-84.6186500,352.0
33.75143000,-84.6187500,352.0
33.75145000,-84.6189000,350.0
33.75143000,-84.6190700,349.0
33.75137000,-84.6191500,350.0
33.75129000,-84.6192100,350.0
33.75123000,-84.6192000,351.0
33.75114000,-84.6192000,353.0
33.75105000,-84.6192400,353.0
33.75079000,-84.6193000,354.0
33.75069000,-84.6192800,354.0
33.75062000,-84.6192400,354.0
33.75051000,-84.6191900,354.0
33.75037000,-84.6191000,352.0
33.75030000,-84.6190100,352.0
33.75022000,-84.6188600,352.0
33.75018000,-84.6185900,355.0
33.75016000,-84.6184900,357.0
33.75012000,-84.6184300,358.0
33.75009000,-84.6183700,358.0
33.75003000,-84.6183400,359.0
33.74992000,-84.6183100,359.0
33.74983000,-84.6182900,360.0
33.74973000,-84.6182700,361.0
33.74965000,-84.6181800,362.0
33.74955000,-84.6179900,363.0
33.74942000,-84.6177600,366.0
33.74932000,-84.6176000,367.0
33.74923000,-84.6175000,367.0
33.74912000,-84.6174300,367.0
33.74906000,-84.6174300,366.0
33.74898000,-84.6174700,366.0
33.74890000,-84.6175700,365.0
33.74885000,-84.6177500,364.0
33.74884000,-84.6178500,364.0
33.74883000,-84.6179200,363.0
33.74882000,-84.6180200,363.0
33.74881000,-84.6180700,362.0
33.74878000,-84.6182100,363.0
33.74871000,-84.6184500,363.0
33.74869000,-84.6186100,363.0
33.74869000,-84.6187300,364.0
33.74875000,-84.6188200,364.0
33.74881000,-84.6189300,363.0
33.74894000,-84.6191500,358.0
33.74903000,-84.6191200,357.0
33.74909000,-84.6190800,357.0
33.74917000,-84.6189600,358.0
33.74926000,-84.6187700,358.0
33.74939000,-84.6186900,356.0
33.74949000,-84.6186500,355.0
33.74959000,-84.6186800,353.0
33.74965000,-84.6188400,349.0
33.74972000,-84.6191500,341.0
33.74974000,-84.6194300,340.0
33.74981000,-84.6195800,338.0
33.74985000,-84.6198600,334.0
33.74993000,-84.6201500,328.0
33.75006000,-84.6205400,322.0
33.75026000,-84.6208900,317.0
33.75038000,-84.6211000,313.0
33.75044000,-84.6212600,310.0
33.75049000,-84.6215100,307.0
33.75053000,-84.6217800,305.0
33.75060000,-84.6220300,303.0
33.75066000,-84.6221900,302.0
33.75075000,-84.6223900,299.0
33.75080000,-84.6225800,295.0
33.75083000,-84.6228200,289.0
33.75085000,-84.6230000,284.0
33.75084000,-84.6233200,272.0
33.75088000,-84.6234400,272.0
33.75100000,-84.6236400,272.0
33.75110000,-84.6237100,274.0
33.75117000,-84.6237700,275.0
33.75125000,-84.6238100,276.0
33.75133000,-84.6239100,276.0
33.75135000,-84.6239900,275.0
33.75144000,-84.6241500,273.0
33.75156000,-84.6242800,273.0
33.75168000,-84.6244100,273.0
33.75187000,-84.6245600,274.0
33.75205000,-84.6246200,276.0
33.75229000,-84.6246400,279.0
33.75238000,-84.6246200,280.0
33.75260000,-84.6245900,280.0
33.75280000,-84.6244900,279.0
33.75298000,-84.6243400,279.0
33.75318000,-84.6241400,278.0
33.75337000,-84.6239800,276.0
33.75352000,-84.6237900,274.0
33.75369000,-84.6233700,276.0
33.75373000,-84.6230800,278.0
33.75378000,-84.6228600,276.0
33.75382000,-84.6226500,275.0
33.75388000,-84.6223900,275.0
33.75396000,-84.6221800,278.0
33.75403000,-84.6220100,279.0
33.75411000,-84.6218400,278.0
33.75426000,-84.6216700,277.0
33.75431000,-84.6216200,276.0
33.75439000,-84.6215400,275.0
33.75459000,-84.6214500,274.0
33.75486000,-84.6213700,274.0
33.75498000,-84.6213500,275.0
33.75501000,-84.6213700,275.0
33.75509000,-84.6214200,274.0
33.75519000,-84.6215000,274.0
33.75529000,-84.6215500,274.0
33.75547000,-84.6216600,275.0
33.75560000,-84.6217200,275.0
33.75571000,-84.6217900,272.0
33.75582000,-84.6218500,269.0
33.75593000,-84.6219100,268.0
33.75600000,-84.6218800,269.0
33.75606000,-84.6218800,270.0
33.75596000,-84.6220100,265.0
33.75576000,-84.6222100,259.0
33.75568000,-84.6223000,260.0
33.75554000,-84.6224600,263.0
33.75545000,-84.6225500,266.0
33.75538000,-84.6226800,270.0
33.75531000,-84.6227500,272.0
33.75532000,-84.6226400,271.0
33.75533000,-84.6225500,270.0
33.75530000,-84.6224300,269.0
33.75525000,-84.6223600,269.0
33.75517000,-84.6223300,271.0
33.75507000,-84.6223200,272.0
33.75490000,-84.6222500,272.0
33.75472000,-84.6222200,269.0
33.75462000,-84.6222400,269.0
33.75447000,-84.6224000,268.0
33.75432000,-84.6225600,268.0
33.75420000,-84.6228000,270.0
33.75412000,-84.6230100,271.0
33.75409000,-84.6232400,272.0
33.75403000,-84.6234200,272.0
33.75402000,-84.6236400,270.0
33.75398000,-84.6238900,268.0
33.75397000,-84.6239700,269.0
33.75399000,-84.6240600,269.0
33.75397000,-84.6242600,269.0
33.75396000,-84.6245600,270.0
33.75395000,-84.6246700,270.0
33.75393000,-84.6248100,271.0
33.75390000,-84.6249600,271.0
33.75388000,-84.6252200,270.0
33.75384000,-84.6253800,271.0
33.75384000,-84.6254200,271.0
33.75386000,-84.6254700,272.0
33.75397000,-84.6255300,273.0
33.75420000,-84.6257100,278.0
33.75442000,-84.6258700,281.0
33.75455000,-84.6259800,282.0
33.75465000,-84.6261200,283.0
33.75470000,-84.6262700,283.0
33.75473000,-84.6263700,282.0
33.75473000,-84.6264500,283.0
33.75469000,-84.6265100,283.0
33.75460000,-84.6264900,284.0
33.75443000,-84.6263900,286.0
33.75428000,-84.6262700,286.0
33.75411000,-84.6261700,286.0
33.75391000,-84.6260900,284.0
33.75372000,-84.6260900,282.0
33.75362000,-84.6261500,281.0
33.75359000,-84.6261800,281.0
33.75336000,-84.6264000,279.0
33.75310000,-84.6266700,280.0
33.75304000,-84.6268700,282.0
33.75303000,-84.6269400,282.0
33.75303000,-84.6270100,282.0
33.75306000,-84.6271500,283.0
33.75307000,-84.6272900,283.0
33.75307000,-84.6273300,283.0
33.75305000,-84.6273800,283.0
33.75302000,-84.6274200,283.0
33.75298000,-84.6274500,284.0
33.75294000,-84.6274700,284.0
33.75289000,-84.6275200,284.0
33.75286000,-84.6275600,285.0
33.75283000,-84.6276000,286.0
33.75281000,-84.6276400,287.0
33.75276000,-84.6277000,288.0
33.75272000,-84.6277300,288.0
33.75269000,-84.6277600,289.0
33.75265000,-84.6278000,289.0
33.75262000,-84.6278400,290.0
33.75259000,-84.6278900,290.0
33.75257000,-84.6279200,290.0
33.75255000,-84.6280700,292.0
33.75256000,-84.6282400,293.0
33.75259000,-84.6282700,293.0
33.75263000,-84.6283600,293.0
33.75270000,-84.6283400,293.0
33.75279000,-84.6283100,293.0
33.75291000,-84.6282900,293.0
33.75296000,-84.6283000,293.0
33.75301000,-84.6283000,292.0
33.75307000,-84.6283600,292.0
33.75312000,-84.6284500,292.0
33.75319000,-84.6284800,291.0
33.75325000,-84.6285000,291.0
33.75329000,-84.6285400,291.0
33.75330000,-84.6285300,290.0
