Latitude,Longitude,Elevation
33.75329000,-84.6285200,291.0
33.75320000,-84.6284600,291.0
33.75301000,-84.6283200,293.0
33.75297000,-84.6282900,292.0
33.75293000,-84.6282700,292.0
33.75288000,-84.6282700,293.0
33.75283000,-84.6282700,293.0
33.75282000,-84.6282700,293.0
33.75273000,-84.6282800,293.0
33.75268000,-84.6282800,293.0
33.75263000,-84.6282600,293.0
33.75260000,-84.6282200,293.0
33.75259000,-84.6281600,292.0
33.75259000,-84.6281000,292.0
33.75259000,-84.6280400,292.0
33.75260000,-84.6279900,291.0
33.75260000,-84.6279300,291.0
33.75260000,-84.6278800,290.0
33.75260000,-84.6278300,289.0
33.75258000,-84.6277900,289.0
33.75256000,-84.6277700,289.0
33.75252000,-84.6277400,288.0
33.75250000,-84.6277300,288.0
33.75244000,-84.6276900,287.0
33.75240000,-84.6276600,287.0
33.75232000,-84.6276000,286.0
33.75229000,-84.6275600,286.0
33.75227000,-84.6275200,285.0
33.75224000,-84.6274200,285.0
33.75220000,-84.6273500,285.0
33.75218000,-84.6273100,284.0
33.75217000,-84.6272800,284.0
33.75213000,-84.6272000,283.0
33.75204000,-84.6270500,279.0
33.75202000,-84.6270400,279.0
33.75200000,-84.6270400,279.0
33.75196000,-84.6270400,278.0
33.75192000,-84.6270900,279.0
33.75189000,-84.6271500,280.0
33.75184000,-84.6272000,280.0
33.75177000,-84.6272500,280.0
33.75173000,-84.6272700,280.0
33.75168000,-84.6272900,279.0
33.75165000,-84.6272800,279.0
33.75162000,-84.6272400,279.0
33.75158000,-84.6271600,279.0
33.75156000,-84.6270900,280.0
33.75156000,-84.6270700,280.0
33.75156000,-84.6270500,280.0
33.75158000,-84.6269900,279.0
33.75160000,-84.6269100,279.0
33.75162000,-84.6268500,278.0
33.75163000,-84.6268100,277.0
33.75163000,-84.6267100,276.0
33.75164000,-84.6266400,275.0
33.75168000,-84.6265600,274.0
33.75169000,-84.6265400,273.0
33.75173000,-84.6264800,272.0
33.75176000,-84.6264300,271.0
33.75175000,-84.6264000,271.0
33.75172000,-84.6263800,272.0
33.75161000,-84.6263200,274.0
33.75158000,-84.6262900,274.0
33.75156000,-84.6262600,275.0
33.75156000,-84.6262100,274.0
33.75155000,-84.6261800,275.0
33.75155000,-84.6261600,274.0
33.75154000,-84.6261300,274.0
33.75154000,-84.6260900,274.0
33.75153000,-84.6260600,274.0
33.75153000,-84.6260300,274.0
33.75152000,-84.6259800,273.0
33.75152000,-84.6259400,273.0
33.75151000,-84.6259000,273.0
33.75153000,-84.6257300,272.0
33.75153000,-84.6255700,271.0
33.75151000,-84.6255000,271.0
33.75146000,-84.6254200,271.0
33.75142000,-84.6253600,271.0
33.75137000,-84.6252600,271.0
33.75134000,-84.6252000,271.0
33.75133000,-84.6251700,271.0
33.75132000,-84.6251300,272.0
33.75129000,-84.6250800,272.0
33.75109000,-84.6248700,275.0
33.75100000,-84.6248000,276.0
33.75088000,-84.6247300,276.0
33.75083000,-84.6247000,276.0
33.75081000,-84.6246800,276.0
33.75070000,-84.6246500,276.0
33.75062000,-84.6246300,277.0
33.75058000,-84.6246200,276.0
33.75055000,-84.6246200,277.0
33.75052000,-84.6246100,276.0
33.75041000,-84.6245500,275.0
33.75032000,-84.6244900,274.0
33.75025000,-84.6244600,274.0
33.75008000,-84.6243900,275.0
33.74996000,-84.6243300,275.0
33.74984000,-84.6243000,276.0
33.74977000,-84.6242800,276.0
33.74970000,-84.6242700,277.0
33.74959000,-84.6242600,277.0
33.74944000,-84.6242300,278.0
33.74936000,-84.6242300,277.0
33.74929000,-84.6242000,276.0
33.74924000,-84.6241900,276.0
33.74920000,-84.6241900,275.0
33.74898000,-84.6241300,273.0
33.74894000,-84.6241300,273.0
33.74889000,-84.6241200,272.0
33.74884000,-84.6241300,273.0
33.74877000,-84.6241400,273.0
33.74868000,-84.6241500,273.0
33.74860000,-84.6241800,274.0
33.74852000,-84.6242100,275.0
33.74847000,-84.6241900,275.0
33.74844000,-84.6241700,275.0
33.74839000,-84.6241300,274.0
33.74833000,-84.6240100,273.0
33.74830000,-84.6239700,273.0
33.74823000,-84.6239100,273.0
33.74816000,-84.6238500,273.0
33.74809000,-84.6238000,273.0
33.74806000,-84.6237800,273.0
33.74803000,-84.6237600,273.0
33.74793000,-84.6237100,272.0
33.74770000,-84.6236500,271.0
33.74756000,-84.6236000,271.0
33.74742000,-84.6235200,272.0
33.74738000,-84.6234200,270.0
33.74737000,-84.6233700,268.0
33.74736000,-84.6233200,267.0
33.74734000,-84.6232700,267.0
33.74731000,-84.6232200,266.0
33.74728000,-84.6231800,266.0
33.74727000,-84.6231300,265.0
33.74724000,-84.6230800,265.0
33.74720000,-84.6230600,265.0
33.74716000,-84.6230300,264.0
33.74713000,-84.6229900,263.0
33.74709000,-84.6229700,262.0
33.74704000,-84.6229500,262.0
33.74700000,-84.6229400,262.0
33.74688000,-84.6229000,261.0
33.74684000,-84.6228900,261.0
33.74677000,-84.6228700,260.0
33.74669000,-84.6228600,260.0
33.74665000,-84.6228600,260.0
33.74661000,-84.6228700,261.0
33.74654000,-84.6228700,261.0
33.74640000,-84.6228900,263.0
33.74631000,-84.6229300,263.0
33.74627000,-84.6229300,262.0
33.74618000,-84.6229800,262.0
33.74616000,-84.6229800,262.0
33.74615000,-84.6229900,262.0
33.74613000,-84.6230200,263.0
33.74608000,-84.6230500,263.0
33.74605000,-84.6230800,263.0
33.74601000,-84.6231100,263.0
33.74599000,-84.6231300,263.0
33.74595000,-84.6231500,263.0
33.74591000,-84.6231900,263.0
33.74580000,-84.6232300,261.0
33.74574000,-84.6232600,261.0
33.74571000,-84.6232900,261.0
33.74568000,-84.6233000,261.0
33.74551000,-84.6234000,261.0
33.74542000,-84.6234300,263.0
33.74537000,-84.6234800,264.0
33.74534000,-84.6235300,265.0
33.74530000,-84.6235700,267.0
33.74527000,-84.6235800,267.0
33.74525000,-84.6235900,267.0
33.74523000,-84.6235900,267.0
33.74520000,-84.6236000,268.0
33.74517000,-84.6236000,268.0
33.74513000,-84.6236200,269.0
33.74512000,-84.6236000,269.0
33.74507000,-84.6235400,267.0
33.74506000,-84.6235100,267.0
33.74503000,-84.6234800,266.0
33.74501000,-84.6234700,265.0
33.74499000,-84.6234700,265.0
33.74495000,-84.6234600,265.0
33.74494000,-84.6234400,264.0
33.74488000,-84.6233900,262.0
33.74486000,-84.6233900,262.0
33.74484000,-84.6233800,262.0
33.74482000,-84.6233700,262.0
33.74478000,-84.6233600,261.0
33.74474000,-84.6233600,261.0
33.74472000,-84.6233500,261.0
33.74469000,-84.6233500,260.0
33.74465000,-84.6233500,259.0
33.74461000,-84.6233400,258.0
33.74457000,-84.6233500,257.0
33.74453000,-84.6233800,257.0
33.74449000,-84.6234000,257.0
33.74445000,-84.6234000,256.0
33.74442000,-84.6234100,256.0
33.74440000,-84.6234100,256.0
33.74437000,-84.6234100,255.0
33.74435000,-84.6234100,255.0
33.74428000,-84.6234300,254.0
33.74425000,-84.6234500,254.0
33.74419000,-84.6235000,254.0
33.74410000,-84.6235400,253.0
33.74405000,-84.6235800,253.0
33.74402000,-84.6236100,252.0
33.74394000,-84.6236700,253.0
33.74387000,-84.6237400,253.0
33.74377000,-84.6238200,253.0
33.74370000,-84.6238900,254.0
33.74363000,-84.6239400,254.0
33.74360000,-84.6239700,254.0
33.74355000,-84.6240200,254.0
33.74353000,-84.6240500,254.0
33.74348000,-84.6241300,255.0
33.74341000,-84.6242300,256.0
33.74333000,-84.6243200,256.0
33.74325000,-84.6244100,256.0
33.74315000,-84.6244800,256.0
33.74308000,-84.6245300,255.0
33.74303000,-84.6245700,256.0
33.74299000,-84.6245900,256.0
33.74296000,-84.6246200,256.0
33.74295000,-84.6246300,256.0
33.74294000,-84.6246500,256.0
33.74290000,-84.6246800,256.0
33.74286000,-84.6247100,255.0
33.74278000,-84.6248000,255.0
33.74275000,-84.6248200,255.0
33.74267000,-84.6248400,254.0
33.74263000,-84.6248600,254.0
33.74257000,-84.6249200,254.0
33.74256000,-84.6249300,254.0
33.74251000,-84.6249600,253.0
33.74247000,-84.6249800,253.0
33.74241000,-84.6249900,252.0
33.74236000,-84.6250200,253.0
33.74230000,-84.6250900,255.0
33.74226000,-84.6251100,255.0
33.74222000,-84.6251300,255.0
33.74220000,-84.6251500,256.0
33.74216000,-84.6251900,257.0
33.74211000,-84.6252200,258.0
33.74205000,-84.6252500,259.0
33.74200000,-84.6252500,259.0
33.74196000,-84.6252400,258.0
33.74193000,-84.6252400,258.0
33.74189000,-84.6252200,257.0
33.74181000,-84.6252200,257.0
33.74177000,-84.6252300,257.0
33.74174000,-84.6252000,256.0
33.74170000,-84.6251900,256.0
33.74167000,-84.6251900,256.0
33.74167000,-84.6252000,256.0
33.74160000,-84.6252200,257.0
