Latitude,Longitude,Elevation
34.74006000,-83.3905200,474.0
34.74015000,-83.3906200,474.0
34.74017000,-83.3906800,474.0
34.74017000,-83.3907300,473.0
34.74016000,-83.3907900,473.0
34.74014000,-83.3908500,473.0
34.74012000,-83.3909000,473.0
34.74010000,-83.3909500,473.0
34.74008000,-83.3910000,473.0
34.74006000,-83.3910600,473.0
34.74004000,-83.3911100,473.0
34.74000000,-83.3911400,472.0
34.73996000,-83.3911600,471.0
34.73991000,-83.3911800,470.0
34.73986000,-83.3912000,469.0
34.73982000,-83.3912200,468.0
34.73978000,-83.3912500,466.0
34.73976000,-83.3913000,466.0
34.73978000,-83.3914000,466.0
34.73979000,-83.3914600,466.0
34.73981000,-83.3915100,466.0
34.73982000,-83.3915700,465.0
34.73983000,-83.3916200,465.0
34.73984000,-83.3916800,465.0
34.73985000,-83.3917400,464.0
34.73985000,-83.3918000,464.0
34.73986000,-83.3918600,464.0
34.73986000,-83.3919200,463.0
34.73985000,-83.3919800,463.0
34.73984000,-83.3920300,462.0
34.73983000,-83.3920900,461.0
34.73983000,-83.3921400,461.0
34.73985000,-83.3921900,461.0
34.73988000,-83.3922300,461.0
34.73990000,-83.3922700,461.0
34.73990000,-83.3923100,461.0
34.73986000,-83.3923200,460.0
34.73981000,-83.3923200,458.0
34.73977000,-83.3923100,457.0
34.73972000,-83.3923100,456.0
34.73968000,-83.3923100,455.0
34.73964000,-83.3923300,453.0
34.73952000,-83.3924300,446.0
34.73948000,-83.3924500,444.0
34.73943000,-83.3924500,442.0
34.73939000,-83.3924300,441.0
34.73939000,-83.3924200,441.0
34.73935000,-83.3923800,440.0
34.73933000,-83.3923600,440.0
34.73928000,-83.3923200,438.0
34.73924000,-83.3922800,436.0
34.73921000,-83.3922500,435.0
34.73919000,-83.3922200,434.0
34.73915000,-83.3921900,432.0
34.73908000,-83.3920900,428.0
34.73902000,-83.3920100,425.0
34.73900000,-83.3919700,424.0
34.73896000,-83.3919400,422.0
34.73895000,-83.3919100,420.0
34.73892000,-83.3918600,418.0
34.73889000,-83.3918500,417.0
34.73885000,-83.3918500,415.0
34.73882000,-83.3918400,414.0
34.73880000,-83.3918200,413.0
34.73876000,-83.3918100,412.0
34.73874000,-83.3917900,411.0
34.73873000,-83.3917700,411.0
34.73873000,-83.3917500,410.0
34.73874000,-83.3916800,410.0
34.73875000,-83.3916400,409.0
34.73875000,-83.3916200,409.0
34.73873000,-83.3915800,407.0
34.73870000,-83.3915500,405.0
34.73867000,-83.3915300,403.0
34.73862000,-83.3914900,400.0
34.73859000,-83.3914800,398.0
34.73849000,-83.3914100,394.0
34.73846000,-83.3913800,393.0
34.73842000,-83.3913500,392.0
34.73837000,-83.3913500,391.0
34.73834000,-83.3913100,389.0
34.73832000,-83.3912600,389.0
34.73829000,-83.3912100,390.0
34.73827000,-83.3911700,391.0
34.73823000,-83.3911300,393.0
34.73820000,-83.3910900,394.0
34.73816000,-83.3910600,397.0
34.73816000,-83.3910500,397.0
34.73806000,-83.3909600,399.0
34.73803000,-83.3909200,400.0
34.73800000,-83.3908700,400.0
34.73797000,-83.3908300,400.0
34.73794000,-83.3907800,400.0
34.73792000,-83.3907300,400.0
34.73793000,-83.3906700,398.0
34.73796000,-83.3906300,395.0
34.73800000,-83.3906000,392.0
34.73803000,-83.3905800,389.0
34.73800000,-83.3906000,392.0
34.73796000,-83.3906300,395.0
34.73793000,-83.3906700,398.0
34.73792000,-83.3907300,400.0
34.73794000,-83.3907800,400.0
34.73797000,-83.3908300,400.0
34.73800000,-83.3908700,400.0
34.73803000,-83.3909200,400.0
34.73806000,-83.3909600,399.0
34.73816000,-83.3910500,397.0
34.73816000,-83.3910600,397.0
34.73820000,-83.3910900,394.0
34.73823000,-83.3911300,393.0
34.73827000,-83.3911700,391.0
34.73829000,-83.3912100,390.0
34.73832000,-83.3912600,389.0
34.73834000,-83.3913100,389.0
34.73837000,-83.3913500,391.0
34.73833000,-83.3913800,391.0
34.73829000,-83.3914200,395.0
34.73826000,-83.3914300,398.0
34.73822000,-83.3914500,401.0
34.73818000,-83.3914900,405.0
34.73813000,-83.3915200,409.0
34.73802000,-83.3915900,419.0
34.73798000,-83.3916300,423.0
34.73789000,-83.3916900,431.0
34.73786000,-83.3917000,433.0
34.73781000,-83.3917200,438.0
34.73778000,-83.3917200,440.0
34.73777000,-83.3917100,440.0
34.73774000,-83.3917000,441.0
34.73769000,-83.3917100,443.0
34.73765000,-83.3916900,445.0
34.73757000,-83.3916800,448.0
34.73756000,-83.3916800,448.0
34.73752000,-83.3916800,450.0
34.73749000,-83.3916700,451.0
34.73747000,-83.3916600,452.0
34.73743000,-83.3916500,453.0
34.73737000,-83.3916200,454.0
34.73735000,-83.3916100,455.0
34.73731000,-83.3915700,456.0
34.73728000,-83.3915500,457.0
34.73720000,-83.3915400,460.0
34.73714000,-83.3915200,461.0
34.73711000,-83.3915200,462.0
34.73708000,-83.3915100,463.0
34.73705000,-83.3915100,464.0
34.73703000,-83.3915200,464.0
34.73699000,-83.3914900,465.0
34.73697000,-83.3914300,466.0
34.73696000,-83.3913800,466.0
34.73695000,-83.3913200,466.0
34.73693000,-83.3912700,467.0
34.73691000,-83.3912200,467.0
34.73688000,-83.3911800,468.0
34.73687000,-83.3911300,468.0
34.73686000,-83.3910700,468.0
34.73684000,-83.3910200,468.0
34.73684000,-83.3909600,467.0
34.73684000,-83.3909100,467.0
34.73685000,-83.3908500,466.0
34.73686000,-83.3908000,466.0
34.73688000,-83.3907400,465.0
34.73690000,-83.3906900,464.0
34.73691000,-83.3906700,464.0
34.73691000,-83.3906300,464.0
34.73690000,-83.3906100,464.0
34.73688000,-83.3905900,465.0
34.73688000,-83.3905300,464.0
34.73689000,-83.3904800,464.0
34.73690000,-83.3904600,463.0
34.73701000,-83.3903300,457.0
34.73704000,-83.3902800,454.0
34.73706000,-83.3902300,454.0
34.73707000,-83.3901700,453.0
34.73708000,-83.3901100,453.0
34.73708000,-83.3900500,453.0
34.73708000,-83.3900200,454.0
34.73711000,-83.3898600,448.0
34.73713000,-83.3898100,445.0
34.73714000,-83.3897500,443.0
34.73715000,-83.3897000,440.0
34.73716000,-83.3896400,437.0
34.73716000,-83.3895900,435.0
34.73715000,-83.3895300,433.0
34.73714000,-83.3894800,432.0
34.73711000,-83.3894300,433.0
34.73706000,-83.3894100,437.0
34.73702000,-83.3893800,440.0
34.73699000,-83.3893500,441.0
34.73696000,-83.3893000,441.0
34.73695000,-83.3892600,440.0
34.73696000,-83.3893000,441.0
34.73699000,-83.3893500,441.0
34.73702000,-83.3893800,440.0
34.73706000,-83.3894100,437.0
34.73711000,-83.3894300,433.0
34.73714000,-83.3894800,432.0
