Latitude,Longitude,Elevation
34.74003000,-83.3904800,474.0
34.74015000,-83.3906300,474.0
34.74017000,-83.3906800,474.0
34.74019000,-83.3907300,474.0
34.74019000,-83.3908000,473.0
34.74017000,-83.3908500,473.0
34.74014000,-83.3909000,473.0
34.74011000,-83.3909600,473.0
34.74008000,-83.3910100,473.0
34.74007000,-83.3910600,473.0
34.74004000,-83.3911100,473.0
34.74000000,-83.3911400,472.0
34.73996000,-83.3911600,471.0
34.73991000,-83.3911800,470.0
34.73987000,-83.3912100,469.0
34.73983000,-83.3912500,468.0
34.73982000,-83.3913000,467.0
34.73982000,-83.3913600,467.0
34.73982000,-83.3914200,467.0
34.73982000,-83.3914300,466.0
34.73983000,-83.3915900,465.0
34.73984000,-83.3916400,465.0
34.73984000,-83.3917000,464.0
34.73984000,-83.3917600,464.0
34.73986000,-83.3918200,464.0
34.73987000,-83.3918700,464.0
34.73986000,-83.3919300,463.0
34.73985000,-83.3919900,463.0
34.73984000,-83.3920500,462.0
34.73985000,-83.3921100,462.0
34.73986000,-83.3921600,461.0
34.73987000,-83.3922200,461.0
34.73987000,-83.3922600,461.0
34.73989000,-83.3923300,461.0
34.73993000,-83.3923600,462.0
34.73997000,-83.3923100,463.0
34.74000000,-83.3922700,464.0
34.74003000,-83.3922200,465.0
34.74005000,-83.3921800,466.0
34.74007000,-83.3921200,467.0
34.74009000,-83.3920700,467.0
34.74013000,-83.3920400,469.0
34.74017000,-83.3920400,470.0
34.74021000,-83.3920800,471.0
34.74025000,-83.3921200,473.0
34.74028000,-83.3921700,474.0
34.74031000,-83.3922100,474.0
34.74035000,-83.3922600,474.0
34.74039000,-83.3923100,474.0
34.74044000,-83.3923500,474.0
34.74048000,-83.3923700,474.0
34.74053000,-83.3924100,475.0
34.74058000,-83.3924500,475.0
34.74062000,-83.3924700,475.0
34.74066000,-83.3925000,475.0
34.74071000,-83.3925300,475.0
34.74075000,-83.3925800,475.0
34.74077000,-83.3926300,474.0
34.74077000,-83.3926900,474.0
34.74078000,-83.3927400,474.0
34.74077000,-83.3928000,474.0
34.74077000,-83.3928600,473.0
34.74074000,-83.3929200,473.0
34.74072000,-83.3929800,472.0
34.74069000,-83.3930200,471.0
34.74065000,-83.3930700,470.0
34.74062000,-83.3931000,470.0
34.74059000,-83.3931500,469.0
34.74057000,-83.3932000,468.0
34.74055000,-83.3932600,467.0
34.74055000,-83.3933200,466.0
34.74055000,-83.3933900,466.0
34.74056000,-83.3934400,465.0
34.74058000,-83.3935000,465.0
34.74060000,-83.3935700,465.0
34.74062000,-83.3936200,465.0
34.74064000,-83.3936800,464.0
34.74065000,-83.3937400,464.0
34.74064000,-83.3938000,463.0
34.74063000,-83.3938600,462.0
34.74060000,-83.3939000,461.0
34.74060000,-83.3939100,461.0
34.74055000,-83.3939700,458.0
34.74052000,-83.3940200,456.0
34.74051000,-83.3940700,455.0
34.74052000,-83.3941300,454.0
34.74053000,-83.3942000,454.0
34.74054000,-83.3942500,454.0
34.74052000,-83.3943100,453.0
34.74051000,-83.3943700,451.0
34.74050000,-83.3944300,450.0
34.74050000,-83.3944900,451.0
34.74051000,-83.3945400,453.0
34.74051000,-83.3946000,454.0
34.74051000,-83.3946700,455.0
34.74052000,-83.3947200,457.0
34.74052000,-83.3947800,459.0
34.74053000,-83.3948400,461.0
34.74055000,-83.3949000,465.0
34.74056000,-83.3949500,467.0
34.74058000,-83.3950100,470.0
34.74060000,-83.3950700,473.0
34.74062000,-83.3951200,476.0
34.74064000,-83.3951700,478.0
34.74064000,-83.3952300,480.0
34.74062000,-83.3952800,480.0
