Latitude,Longitude,Elevation
34.90731000,-83.4120800,1008.0
34.90756000,-83.4120800,1006.0
34.90761000,-83.4121000,1006.0
34.90765000,-83.4121300,1007.0
34.90774000,-83.4122400,1008.0
34.90776000,-83.4122800,1009.0
34.90778000,-83.4123200,1010.0
34.90779000,-83.4123600,1011.0
34.90778000,-83.4123700,1012.0
34.90777000,-83.4123800,1012.0
34.90776000,-83.4123800,1012.0
34.90775000,-83.4123700,1012.0
34.90773000,-83.4123600,1012.0
34.90772000,-83.4123500,1012.0
34.90768000,-83.4123300,1011.0
34.90763000,-83.4123300,1012.0
34.90759000,-83.4123400,1012.0
34.90754000,-83.4123500,1013.0
34.90750000,-83.4123600,1013.0
34.90746000,-83.4124000,1015.0
34.90745000,-83.4124500,1016.0
34.90746000,-83.4125100,1017.0
34.90749000,-83.4125500,1018.0
34.90752000,-83.4125900,1020.0
34.90756000,-83.4126300,1021.0
34.90758000,-83.4126800,1022.0
34.90759000,-83.4127000,1022.0
34.90764000,-83.4128100,1025.0
34.90775000,-83.4130200,1030.0
34.90783000,-83.4131500,1034.0
34.90794000,-83.4132600,1038.0
34.90799000,-83.4132900,1039.0
34.90803000,-83.4133200,1040.0
34.90807000,-83.4133500,1040.0
34.90811000,-83.4133800,1040.0
34.90813000,-83.4134000,1040.0
34.90835000,-83.4136400,1041.0
34.90841000,-83.4137300,1041.0
34.90843000,-83.4137800,1042.0
34.90844000,-83.4138400,1043.0
34.90845000,-83.4139000,1044.0
34.90845000,-83.4139500,1044.0
34.90846000,-83.4140100,1045.0
34.90846000,-83.4140700,1046.0
34.90847000,-83.4141300,1046.0
34.90847000,-83.4141900,1047.0
34.90848000,-83.4142100,1046.0
34.90855000,-83.4144200,1044.0
34.90856000,-83.4144800,1043.0
34.90855000,-83.4145400,1043.0
34.90853000,-83.4145800,1044.0
34.90850000,-83.4146300,1045.0
34.90848000,-83.4146900,1046.0
34.90846000,-83.4147400,1047.0
34.90845000,-83.4147900,1048.0
34.90844000,-83.4148500,1048.0
34.90844000,-83.4149100,1048.0
34.90845000,-83.4149600,1048.0
34.90864000,-83.4154600,1044.0
34.90866000,-83.4155100,1043.0
34.90867000,-83.4155700,1043.0
34.90868000,-83.4156200,1043.0
34.90869000,-83.4156800,1042.0
34.90870000,-83.4157300,1042.0
34.90870000,-83.4157900,1041.0
34.90869000,-83.4158400,1042.0
34.90869000,-83.4158500,1042.0
34.90862000,-83.4161200,1045.0
34.90862000,-83.4161800,1045.0
34.90862000,-83.4162400,1044.0
34.90863000,-83.4162900,1044.0
34.90864000,-83.4163500,1043.0
34.90864000,-83.4164100,1042.0
34.90863000,-83.4164700,1041.0
34.90860000,-83.4165100,1042.0
34.90858000,-83.4165400,1042.0
34.90839000,-83.4167900,1042.0
34.90836000,-83.4168400,1042.0
34.90833000,-83.4168800,1042.0
34.90830000,-83.4169200,1042.0
34.90826000,-83.4169500,1042.0
34.90822000,-83.4169800,1042.0
34.90818000,-83.4170200,1042.0
34.90816000,-83.4170400,1042.0
34.90805000,-83.4171700,1041.0
34.90802000,-83.4172200,1040.0
34.90799000,-83.4172700,1039.0
34.90796000,-83.4173100,1037.0
34.90792000,-83.4173500,1037.0
34.90788000,-83.4173700,1036.0
34.90783000,-83.4173800,1037.0
34.90779000,-83.4173700,1037.0
34.90766000,-83.4173600,1039.0
34.90761000,-83.4173600,1040.0
34.90757000,-83.4173700,1040.0
34.90752000,-83.4173900,1040.0
34.90748000,-83.4174100,1039.0
34.90745000,-83.4174300,1039.0
34.90725000,-83.4175700,1039.0
34.90722000,-83.4176100,1038.0
34.90718000,-83.4176500,1038.0
34.90715000,-83.4177000,1037.0
34.90712000,-83.4177400,1036.0
34.90709000,-83.4177900,1036.0
34.90701000,-83.4179300,1034.0
34.90697000,-83.4179900,1033.0
34.90695000,-83.4180300,1032.0
34.90693000,-83.4180900,1031.0
34.90690000,-83.4181400,1031.0
34.90688000,-83.4181900,1030.0
34.90686000,-83.4182400,1030.0
34.90683000,-83.4182800,1030.0
34.90680000,-83.4183300,1030.0
34.90677000,-83.4183700,1029.0
34.90658000,-83.4185600,1030.0
34.90654000,-83.4186100,1030.0
34.90651000,-83.4186600,1030.0
34.90648000,-83.4187100,1029.0
34.90646000,-83.4187500,1029.0
34.90645000,-83.4187600,1029.0
34.90629000,-83.4191300,1031.0
34.90619000,-83.4193900,1030.0
34.90605000,-83.4198100,1023.0
34.90590000,-83.4201900,1021.0
34.90586000,-83.4203100,1021.0
34.90583000,-83.4203600,1021.0
34.90581000,-83.4204100,1021.0
34.90578000,-83.4204600,1021.0
34.90577000,-83.4204700,1022.0
34.90569000,-83.4205700,1024.0
34.90567000,-83.4206200,1024.0
34.90566000,-83.4206800,1023.0
34.90566000,-83.4207400,1023.0
34.90567000,-83.4208000,1021.0
34.90569000,-83.4208500,1020.0
34.90570000,-83.4208600,1020.0
34.90582000,-83.4212600,1016.0
34.90585000,-83.4213000,1015.0
34.90588000,-83.4213400,1014.0
34.90592000,-83.4213700,1012.0
34.90596000,-83.4214000,1010.0
34.90598000,-83.4214100,1010.0
34.90611000,-83.4214900,1003.0
34.90615000,-83.4215200,1002.0
34.90618000,-83.4215600,1000.0
34.90622000,-83.4216100,999.0
34.90625000,-83.4216500,998.0
34.90627000,-83.4216700,997.0
34.90637000,-83.4218500,993.0
34.90640000,-83.4218900,992.0
34.90643000,-83.4219400,991.0
34.90645000,-83.4219900,991.0
34.90647000,-83.4220400,991.0
34.90647000,-83.4221000,991.0
34.90645000,-83.4221500,991.0
34.90641000,-83.4221600,991.0
34.90636000,-83.4221600,991.0
34.90617000,-83.4221700,996.0
34.90611000,-83.4221800,997.0
34.90607000,-83.4221900,998.0
34.90606000,-83.4221900,998.0
34.90593000,-83.4222300,1001.0
34.90588000,-83.4222400,1002.0
34.90583000,-83.4222700,1002.0
34.90579000,-83.4223000,1002.0
34.90575000,-83.4223300,1002.0
34.90574000,-83.4223400,1002.0
34.90554000,-83.4224900,1001.0
34.90549000,-83.4225200,1001.0
34.90546000,-83.4225600,1001.0
34.90542000,-83.4226100,1001.0
34.90539000,-83.4226500,1001.0
34.90536000,-83.4226900,1001.0
34.90533000,-83.4227400,1001.0
34.90531000,-83.4227900,1000.0
34.90529000,-83.4228400,1001.0
34.90528000,-83.4228800,1000.0
34.90526000,-83.4230300,999.0
34.90526000,-83.4230800,999.0
34.90525000,-83.4231400,999.0
34.90525000,-83.4232000,998.0
34.90524000,-83.4232500,998.0
34.90523000,-83.4233100,998.0
34.90521000,-83.4233600,998.0
34.90519000,-83.4234100,998.0
34.90516000,-83.4234600,998.0
34.90513000,-83.4235000,998.0
34.90511000,-83.4235100,999.0
34.90508000,-83.4235200,999.0
34.90503000,-83.4235300,999.0
34.90499000,-83.4235300,999.0
34.90495000,-83.4235100,1000.0
34.90490000,-83.4234900,1000.0
34.90486000,-83.4234700,1001.0
34.90481000,-83.4234600,1001.0
34.90479000,-83.4234600,1001.0
34.90470000,-83.4234400,1002.0
34.90465000,-83.4234400,1002.0
34.90460000,-83.4234500,1002.0
34.90456000,-83.4234500,1003.0
34.90451000,-83.4234500,1003.0
34.90446000,-83.4234500,1003.0
34.90441000,-83.4234600,1003.0
34.90439000,-83.4234700,1003.0
34.90430000,-83.4234700,1004.0
34.90425000,-83.4234700,1004.0
34.90421000,-83.4234700,1004.0
34.90416000,-83.4234600,1004.0
34.90412000,-83.4234400,1005.0
34.90407000,-83.4234200,1006.0
34.90403000,-83.4233900,1008.0
34.90390000,-83.4233200,1013.0
34.90386000,-83.4233000,1013.0
34.90381000,-83.4233000,1014.0
34.90377000,-83.4233000,1014.0
34.90337000,-83.4234300,1017.0
34.90331000,-83.4234400,1018.0
34.90326000,-83.4234500,1018.0
34.90322000,-83.4234500,1019.0
34.90284000,-83.4234100,1024.0
34.90280000,-83.4234100,1024.0
34.90275000,-83.4234100,1025.0
34.90270000,-83.4234100,1025.0
34.90268000,-83.4234100,1025.0
34.90256000,-83.4234300,1027.0
34.90251000,-83.4234300,1027.0
34.90246000,-83.4234500,1028.0
34.90241000,-83.4234700,1029.0
34.90237000,-83.4234900,1029.0
34.90233000,-83.4235100,1029.0
34.90228000,-83.4235400,1030.0
34.90226000,-83.4235700,1030.0
34.90202000,-83.4238100,1029.0
34.90197000,-83.4238300,1029.0
34.90193000,-83.4238500,1029.0
34.90188000,-83.4238500,1029.0
34.90186000,-83.4238400,1030.0
34.90152000,-83.4237700,1034.0
34.90136000,-83.4237400,1036.0
34.90131000,-83.4237200,1037.0
34.90127000,-83.4237100,1037.0
34.90122000,-83.4236800,1038.0
34.90118000,-83.4236500,1039.0
34.90116000,-83.4235900,1039.0
34.90118000,-83.4235400,1039.0
34.90121000,-83.4234900,1039.0
34.90125000,-83.4234600,1039.0
34.90129000,-83.4234200,1038.0
34.90133000,-83.4233900,1038.0
34.90137000,-83.4233500,1038.0
34.90140000,-83.4233100,1039.0
34.90143000,-83.4232600,1041.0
34.90144000,-83.4232600,1041.0
34.90169000,-83.4228300,1052.0
34.90184000,-83.4225500,1055.0
34.90187000,-83.4225100,1055.0
34.90190000,-83.4224600,1055.0
34.90194000,-83.4224200,1055.0
34.90198000,-83.4223900,1056.0
34.90203000,-83.4223600,1056.0
34.90207000,-83.4223500,1057.0
34.90208000,-83.4223400,1057.0
34.90214000,-83.4223000,1058.0
34.90218000,-83.4222700,1059.0
34.90221000,-83.4222300,1060.0
34.90221000,-83.4221700,1063.0
34.90218000,-83.4221300,1065.0
34.90214000,-83.4221000,1066.0
34.90209000,-83.4220800,1067.0
34.90205000,-83.4220700,1068.0
34.90201000,-83.4220500,1069.0
34.90190000,-83.4219800,1073.0
34.90185000,-83.4219600,1075.0
34.90181000,-83.4219500,1076.0
34.90176000,-83.4219400,1077.0
34.90172000,-83.4219200,1078.0
34.90168000,-83.4218900,1079.0
34.90164000,-83.4218700,1080.0
34.90161000,-83.4218200,1081.0
34.90160000,-83.4217700,1082.0
34.90162000,-83.4217200,1083.0
34.90166000,-83.4216900,1084.0
34.90171000,-83.4216600,1085.0
34.90174000,-83.4216300,1085.0
34.90178000,-83.4216000,1085.0
34.90182000,-83.4215600,1085.0
34.90182000,-83.4215000,1086.0
34.90179000,-83.4214600,1086.0
34.90174000,-83.4214300,1086.0
34.90171000,-83.4214000,1087.0
34.90169000,-83.4213500,1086.0
34.90169000,-83.4213200,1086.0
34.90169000,-83.4211900,1085.0
34.90171000,-83.4211400,1085.0
34.90175000,-83.4211100,1086.0
34.90180000,-83.4211000,1086.0
34.90184000,-83.4210900,1087.0
34.90186000,-83.4210900,1087.0
34.90218000,-83.4210800,1090.0
34.90222000,-83.4210800,1090.0
34.90227000,-83.4210800,1092.0
34.90232000,-83.4210700,1093.0
34.90236000,-83.4210400,1094.0
34.90239000,-83.4210200,1094.0
34.90262000,-83.4208400,1099.0
34.90266000,-83.4208200,1100.0
34.90270000,-83.4207900,1100.0
34.90274000,-83.4207500,1101.0
34.90278000,-83.4207200,1101.0
34.90282000,-83.4206800,1101.0
34.90285000,-83.4206400,1102.0
34.90289000,-83.4206100,1102.0
34.90293000,-83.4205900,1103.0
34.90324000,-83.4205100,1109.0
34.90329000,-83.4204800,1109.0
34.90333000,-83.4204500,1110.0
34.90337000,-83.4204300,1109.0
