Latitude,Longitude,Elevation
34.65011000,-84.6090900,346.0
34.65029000,-84.6090400,348.0
34.65034000,-84.6090200,348.0
34.65036000,-84.6089600,349.0
34.65038000,-84.6089100,350.0
34.65042000,-84.6088600,351.0
34.65046000,-84.6088200,351.0
34.65047000,-84.6087700,352.0
34.65048000,-84.6087200,353.0
34.65048000,-84.6086500,355.0
34.65050000,-84.6086000,356.0
34.65054000,-84.6085800,356.0
34.65059000,-84.6085800,356.0
34.65064000,-84.6085800,357.0
34.65069000,-84.6085900,357.0
34.65075000,-84.6086000,357.0
34.65080000,-84.6086100,356.0
34.65086000,-84.6086000,356.0
34.65090000,-84.6085800,356.0
34.65094000,-84.6085300,357.0
34.65099000,-84.6085000,356.0
34.65103000,-84.6084700,356.0
34.65108000,-84.6084600,355.0
34.65113000,-84.6084500,354.0
34.65118000,-84.6084500,353.0
34.65123000,-84.6084300,352.0
34.65128000,-84.6084300,351.0
34.65132000,-84.6084100,351.0
34.65134000,-84.6083500,351.0
34.65137000,-84.6082800,352.0
34.65142000,-84.6082600,352.0
34.65147000,-84.6082300,352.0
34.65156000,-84.6081800,352.0
34.65159000,-84.6081300,353.0
34.65162000,-84.6080800,354.0
34.65167000,-84.6080600,353.0
34.65172000,-84.6080400,353.0
34.65176000,-84.6080200,353.0
34.65181000,-84.6080400,352.0
34.65185000,-84.6080800,351.0
34.65186000,-84.6080800,351.0
34.65207000,-84.6081800,350.0
34.65217000,-84.6081900,350.0
34.65222000,-84.6082100,350.0
34.65226000,-84.6082400,351.0
34.65230000,-84.6082900,351.0
34.65237000,-84.6083100,351.0
34.65241000,-84.6083300,352.0
34.65245000,-84.6083700,351.0
34.65249000,-84.6084300,351.0
34.65254000,-84.6084600,351.0
34.65260000,-84.6085200,351.0
34.65265000,-84.6085500,351.0
34.65273000,-84.6085900,351.0
34.65278000,-84.6086100,351.0
34.65283000,-84.6086200,351.0
34.65293000,-84.6086300,351.0
34.65298000,-84.6086300,351.0
34.65304000,-84.6086200,351.0
34.65309000,-84.6086000,352.0
34.65313000,-84.6085900,352.0
34.65317000,-84.6085700,352.0
34.65328000,-84.6085700,352.0
34.65339000,-84.6085200,353.0
34.65348000,-84.6084500,354.0
34.65354000,-84.6083900,355.0
34.65372000,-84.6082100,358.0
34.65375000,-84.6081100,359.0
34.65377000,-84.6080200,361.0
34.65378000,-84.6079500,362.0
34.65379000,-84.6079000,362.0
34.65380000,-84.6078400,363.0
34.65381000,-84.6077800,364.0
34.65384000,-84.6077200,365.0
34.65386000,-84.6076800,365.0
34.65389000,-84.6076300,365.0
34.65393000,-84.6075800,365.0
34.65398000,-84.6075400,364.0
34.65403000,-84.6075000,363.0
34.65407000,-84.6074900,362.0
34.65412000,-84.6074900,360.0
34.65416000,-84.6074800,359.0
34.65422000,-84.6074800,358.0
