Latitude,Longitude,Elevation
34.72499000,-83.7268600,508.0
34.72501000,-83.7268700,508.0
34.72505000,-83.7268400,509.0
34.72513000,-83.7267500,509.0
34.72521000,-83.7266700,509.0
34.72539000,-83.7266100,509.0
34.72545000,-83.7266100,510.0
34.72558000,-83.7266600,512.0
34.72573000,-83.7267300,512.0
34.72583000,-83.7268300,513.0
34.72587000,-83.7268400,513.0
34.72593000,-83.7268500,513.0
34.72597000,-83.7268400,513.0
34.72601000,-83.7268100,513.0
34.72604000,-83.7267600,512.0
34.72605000,-83.7267100,511.0
34.72605000,-83.7266500,510.0
34.72605000,-83.7265900,509.0
34.72606000,-83.7265300,508.0
34.72608000,-83.7264800,507.0
34.72611000,-83.7264300,506.0
34.72614000,-83.7263800,506.0
34.72617000,-83.7263400,506.0
34.72620000,-83.7263200,507.0
34.72620000,-83.7263300,507.0
34.72645000,-83.7262900,510.0
34.72681000,-83.7263400,514.0
34.72694000,-83.7263400,514.0
34.72707000,-83.7264300,515.0
34.72735000,-83.7266300,518.0
34.72745000,-83.7267000,518.0
34.72750000,-83.7268700,520.0
34.72754000,-83.7268900,522.0
34.72759000,-83.7269100,523.0
34.72762000,-83.7268700,523.0
34.72763000,-83.7268000,522.0
34.72761000,-83.7267400,521.0
34.72759000,-83.7266900,519.0
34.72757000,-83.7266200,518.0
34.72756000,-83.7265600,517.0
34.72754000,-83.7265000,516.0
34.72752000,-83.7264400,514.0
34.72750000,-83.7263800,513.0
34.72750000,-83.7263200,512.0
34.72750000,-83.7262600,511.0
34.72751000,-83.7262100,510.0
34.72753000,-83.7261600,509.0
34.72755000,-83.7261000,508.0
34.72758000,-83.7260500,507.0
34.72763000,-83.7260400,507.0
34.72767000,-83.7260300,507.0
34.72772000,-83.7260300,507.0
34.72773000,-83.7260300,507.0
34.72793000,-83.7259500,508.0
34.72798000,-83.7259500,508.0
34.72803000,-83.7259600,509.0
34.72808000,-83.7259700,510.0
34.72813000,-83.7259900,510.0
34.72818000,-83.7260200,511.0
34.72822000,-83.7260600,513.0
34.72826000,-83.7260900,514.0
34.72831000,-83.7261000,516.0
34.72835000,-83.7261100,517.0
34.72840000,-83.7261100,518.0
34.72842000,-83.7261100,518.0
34.72902000,-83.7260100,522.0
34.72907000,-83.7260100,522.0
34.72912000,-83.7259900,521.0
34.72917000,-83.7259700,521.0
34.72922000,-83.7259500,520.0
34.72926000,-83.7259200,519.0
34.72931000,-83.7259000,518.0
34.72935000,-83.7258700,517.0
34.72940000,-83.7258400,515.0
34.72944000,-83.7258300,514.0
34.72947000,-83.7258000,513.0
34.72964000,-83.7257900,512.0
34.72968000,-83.7257900,512.0
34.72972000,-83.7258200,512.0
34.72975000,-83.7258600,513.0
34.72978000,-83.7259100,514.0
34.72981000,-83.7259400,514.0
34.72986000,-83.7259200,514.0
34.72989000,-83.7258700,513.0
34.72989000,-83.7258100,512.0
34.72991000,-83.7257600,511.0
34.72991000,-83.7257400,511.0
34.73005000,-83.7256300,512.0
34.73009000,-83.7256200,511.0
34.73015000,-83.7256100,510.0
34.73020000,-83.7256100,510.0
34.73025000,-83.7256100,509.0
34.73029000,-83.7256300,509.0
34.73031000,-83.7256900,510.0
34.73033000,-83.7257400,510.0
34.73036000,-83.7257900,511.0
34.73040000,-83.7258300,512.0
