Latitude,Longitude,Elevation
34.72301000,-83.7220300,537.0
34.72309000,-83.7219300,536.0
34.72309000,-83.7218700,535.0
34.72310000,-83.7218100,534.0
34.72312000,-83.7217500,534.0
34.72316000,-83.7217200,533.0
34.72320000,-83.7216800,533.0
34.72325000,-83.7216600,532.0
34.72330000,-83.7216300,532.0
34.72333000,-83.7215800,532.0
34.72336000,-83.7215400,531.0
34.72339000,-83.7214900,530.0
34.72341000,-83.7214300,529.0
34.72341000,-83.7213800,529.0
34.72337000,-83.7213400,529.0
34.72332000,-83.7213400,529.0
34.72327000,-83.7213500,529.0
34.72323000,-83.7213500,529.0
34.72318000,-83.7213700,529.0
34.72314000,-83.7213700,529.0
34.72309000,-83.7213700,529.0
34.72304000,-83.7213800,529.0
34.72299000,-83.7213900,529.0
34.72294000,-83.7214000,529.0
34.72289000,-83.7214000,528.0
34.72283000,-83.7214100,528.0
34.72279000,-83.7214200,528.0
34.72273000,-83.7214300,528.0
34.72268000,-83.7214400,528.0
34.72262000,-83.7214600,528.0
34.72257000,-83.7214600,528.0
34.72252000,-83.7214600,528.0
34.72247000,-83.7214700,528.0
34.72242000,-83.7214900,527.0
34.72237000,-83.7215100,528.0
34.72233000,-83.7215300,528.0
34.72228000,-83.7215500,528.0
34.72223000,-83.7215800,528.0
34.72218000,-83.7216100,528.0
34.72213000,-83.7216400,528.0
34.72207000,-83.7216400,527.0
34.72202000,-83.7216400,527.0
34.72197000,-83.7216300,526.0
34.72192000,-83.7216200,525.0
34.72188000,-83.7215800,524.0
34.72183000,-83.7215400,522.0
34.72180000,-83.7214700,520.0
34.72176000,-83.7214200,518.0
34.72171000,-83.7213800,515.0
34.72166000,-83.7213300,513.0
34.72160000,-83.7213000,511.0
34.72155000,-83.7212800,510.0
34.72151000,-83.7212800,509.0
34.72144000,-83.7212700,508.0
34.72140000,-83.7212600,507.0
34.72135000,-83.7212700,506.0
34.72131000,-83.7213000,505.0
34.72127000,-83.7213400,505.0
34.72121000,-83.7213900,504.0
34.72116000,-83.7214000,503.0
34.72111000,-83.7213900,502.0
34.72106000,-83.7213600,501.0
34.72103000,-83.7213100,501.0
34.72101000,-83.7212400,502.0
34.72099000,-83.7212000,502.0
34.72096000,-83.7211500,502.0
34.72092000,-83.7211200,503.0
34.72087000,-83.7211000,503.0
34.72083000,-83.7211200,503.0
34.72080000,-83.7211600,504.0
34.72078000,-83.7212200,503.0
34.72075000,-83.7212600,503.0
34.72070000,-83.7212900,503.0
34.72066000,-83.7213200,503.0
34.72064000,-83.7213200,503.0
34.72047000,-83.7214600,500.0
34.72043000,-83.7214900,499.0
34.72039000,-83.7215200,498.0
34.72035000,-83.7215600,497.0
34.72030000,-83.7215900,496.0
34.72026000,-83.7216000,496.0
34.72020000,-83.7216100,496.0
34.72015000,-83.7216000,497.0
34.72010000,-83.7215900,499.0
34.72005000,-83.7215700,500.0
34.72002000,-83.7215200,501.0
34.71999000,-83.7214800,503.0
34.71999000,-83.7214200,504.0
34.71999000,-83.7213700,505.0
34.71998000,-83.7213100,505.0
34.71997000,-83.7212600,505.0
34.71996000,-83.7211700,505.0
34.71995000,-83.7211200,505.0
34.71996000,-83.7210600,506.0
34.71998000,-83.7210100,506.0
34.72001000,-83.7209700,507.0
34.72003000,-83.7209000,507.0
34.72005000,-83.7208500,507.0
34.72004000,-83.7207900,508.0
34.72002000,-83.7207300,508.0
34.72001000,-83.7206700,509.0
34.71999000,-83.7206100,510.0
34.71997000,-83.7205400,511.0
34.71999000,-83.7204700,511.0
