Latitude,Longitude,Elevation
34.01718000,-84.3581300,289.0
34.01719000,-84.3580300,289.0
34.01720000,-84.3579700,289.0
34.01721000,-84.3579100,288.0
34.01722000,-84.3578500,288.0
34.01722000,-84.3577900,288.0
34.01724000,-84.3577400,288.0
34.01725000,-84.3576900,288.0
34.01724000,-84.3576200,288.0
34.01721000,-84.3575700,288.0
34.01717000,-84.3575500,288.0
34.01714000,-84.3575000,289.0
34.01714000,-84.3574300,289.0
34.01715000,-84.3573800,289.0
34.01716000,-84.3573200,288.0
34.01716000,-84.3573100,288.0
34.01717000,-84.3572200,288.0
34.01719000,-84.3570400,290.0
34.01719000,-84.3570100,291.0
34.01719000,-84.3569700,292.0
34.01722000,-84.3568000,292.0
34.01722000,-84.3565200,291.0
34.01723000,-84.3564800,290.0
34.01723000,-84.3564100,290.0
34.01724000,-84.3563600,289.0
34.01724000,-84.3561600,288.0
34.01725000,-84.3560200,287.0
34.01726000,-84.3559600,287.0
34.01726000,-84.3559000,286.0
34.01727000,-84.3558400,286.0
34.01728000,-84.3558100,286.0
34.01728000,-84.3557500,285.0
34.01729000,-84.3557100,285.0
34.01729000,-84.3556700,285.0
34.01730000,-84.3556400,285.0
34.01730000,-84.3555900,284.0
34.01731000,-84.3555600,284.0
34.01731000,-84.3553800,287.0
34.01732000,-84.3553400,287.0
34.01732000,-84.3552500,289.0
34.01733000,-84.3552200,289.0
34.01733000,-84.3551700,290.0
34.01735000,-84.3550500,293.0
34.01735000,-84.3549900,294.0
34.01736000,-84.3549400,294.0
34.01736000,-84.3549000,295.0
34.01737000,-84.3548300,296.0
34.01738000,-84.3547400,297.0
34.01739000,-84.3546900,297.0
34.01740000,-84.3545600,297.0
34.01743000,-84.3544200,296.0
34.01743000,-84.3543700,296.0
34.01744000,-84.3543300,295.0
34.01744000,-84.3542800,294.0
34.01747000,-84.3541200,293.0
34.01747000,-84.3540800,293.0
34.01748000,-84.3540500,292.0
34.01748000,-84.3540000,292.0
34.01749000,-84.3539300,292.0
34.01750000,-84.3538700,291.0
34.01751000,-84.3538200,291.0
34.01751000,-84.3537600,291.0
34.01752000,-84.3537100,291.0
34.01752000,-84.3536500,291.0
34.01754000,-84.3534900,290.0
34.01757000,-84.3534000,290.0
34.01761000,-84.3533500,290.0
34.01767000,-84.3532300,289.0
34.01768000,-84.3531400,288.0
34.01768000,-84.3531100,288.0
34.01761000,-84.3530500,288.0
34.01753000,-84.3529900,289.0
34.01745000,-84.3529400,291.0
34.01740000,-84.3529100,293.0
34.01734000,-84.3528700,295.0
34.01730000,-84.3528500,297.0
34.01727000,-84.3528100,298.0
34.01725000,-84.3527400,299.0
34.01724000,-84.3527200,300.0
34.01722000,-84.3527100,300.0
34.01720000,-84.3527200,301.0
34.01717000,-84.3527300,301.0
34.01713000,-84.3527200,303.0
34.01712000,-84.3527200,303.0
34.01710000,-84.3527300,303.0
34.01709000,-84.3527700,303.0
34.01707000,-84.3527800,304.0
34.01698000,-84.3527500,307.0
34.01690000,-84.3527400,309.0
34.01681000,-84.3527000,311.0
34.01673000,-84.3526500,313.0
34.01668000,-84.3527000,313.0
34.01670000,-84.3526200,313.0
34.01667000,-84.3526000,314.0
34.01666000,-84.3525700,315.0
34.01666000,-84.3524600,316.0
34.01665000,-84.3524200,317.0
34.01665000,-84.3523700,317.0
34.01667000,-84.3523200,317.0
34.01667000,-84.3522400,318.0
34.01671000,-84.3520400,316.0
34.01670000,-84.3519800,315.0
34.01670000,-84.3519400,315.0
34.01671000,-84.3518900,315.0
34.01671000,-84.3518200,315.0
34.01672000,-84.3518000,315.0
34.01672000,-84.3517300,315.0
34.01673000,-84.3516800,315.0
34.01673000,-84.3516400,315.0
34.01673000,-84.3515900,316.0
34.01674000,-84.3515400,316.0
34.01674000,-84.3512600,319.0
34.01676000,-84.3512000,319.0
34.01676000,-84.3511500,319.0
34.01677000,-84.3511000,319.0
34.01678000,-84.3510600,319.0
34.01678000,-84.3510100,318.0
34.01677000,-84.3509300,318.0
34.01677000,-84.3507900,318.0
34.01678000,-84.3506900,318.0
34.01678000,-84.3506300,318.0
34.01678000,-84.3505800,318.0
34.01678000,-84.3505500,318.0
34.01678000,-84.3505100,319.0
34.01679000,-84.3504600,319.0
34.01679000,-84.3503300,319.0
34.01678000,-84.3502900,319.0
34.01677000,-84.3501900,320.0
34.01678000,-84.3501500,320.0
34.01678000,-84.3501100,320.0
34.01679000,-84.3500700,320.0
34.01679000,-84.3500000,320.0
34.01680000,-84.3499800,320.0
34.01680000,-84.3499300,320.0
34.01682000,-84.3498400,320.0
34.01683000,-84.3497800,320.0
34.01683000,-84.3497500,320.0
34.01684000,-84.3496500,320.0
34.01685000,-84.3495700,320.0
34.01685000,-84.3494900,320.0
34.01685000,-84.3494400,319.0
34.01686000,-84.3494000,319.0
34.01686000,-84.3489900,318.0
34.01684000,-84.3488800,319.0
34.01684000,-84.3488400,319.0
34.01683000,-84.3487900,319.0
34.01683000,-84.3487200,320.0
34.01685000,-84.3486400,320.0
34.01685000,-84.3485600,320.0
34.01685000,-84.3484900,320.0
34.01685000,-84.3484100,320.0
34.01685000,-84.3483500,320.0
34.01686000,-84.3482900,320.0
34.01688000,-84.3482400,320.0
34.01688000,-84.3482100,320.0
34.01689000,-84.3481700,320.0
34.01689000,-84.3481300,320.0
34.01690000,-84.3480900,320.0
34.01690000,-84.3480400,320.0
34.01692000,-84.3479600,320.0
34.01694000,-84.3477700,319.0
34.01695000,-84.3477300,319.0
34.01695000,-84.3476500,319.0
34.01696000,-84.3475700,319.0
34.01696000,-84.3475400,318.0
34.01697000,-84.3474700,318.0
34.01697000,-84.3474100,318.0
34.01697000,-84.3473100,318.0
34.01697000,-84.3472200,318.0
34.01698000,-84.3471200,318.0
34.01698000,-84.3470300,318.0
34.01698000,-84.3469900,318.0
34.01698000,-84.3469200,318.0
34.01699000,-84.3468600,317.0
34.01699000,-84.3464200,316.0
34.01700000,-84.3463600,316.0
34.01700000,-84.3463100,316.0
34.01700000,-84.3462700,316.0
34.01700000,-84.3462200,316.0
34.01699000,-84.3461800,316.0
34.01699000,-84.3460000,315.0
34.01701000,-84.3459200,315.0
34.01701000,-84.3458600,314.0
34.01704000,-84.3457500,313.0
34.01704000,-84.3456600,313.0
34.01706000,-84.3455100,312.0
34.01706000,-84.3454500,312.0
34.01704000,-84.3453800,311.0
34.01703000,-84.3453100,311.0
34.01702000,-84.3452500,311.0
34.01701000,-84.3452200,311.0
34.01700000,-84.3451800,311.0
34.01699000,-84.3451100,311.0
34.01698000,-84.3450700,311.0
34.01697000,-84.3449900,310.0
34.01695000,-84.3449000,310.0
34.01694000,-84.3447800,311.0
34.01695000,-84.3447400,310.0
34.01696000,-84.3447100,310.0
34.01698000,-84.3446700,310.0
34.01701000,-84.3446200,309.0
34.01707000,-84.3445500,308.0
34.01711000,-84.3444600,307.0
34.01711000,-84.3443600,306.0
34.01712000,-84.3442700,305.0
34.01712000,-84.3441800,304.0
34.01713000,-84.3441400,303.0
34.01713000,-84.3441000,303.0
34.01713000,-84.3440300,303.0
34.01712000,-84.3439800,303.0
34.01710000,-84.3439600,303.0
34.01700000,-84.3439600,303.0
34.01693000,-84.3439400,303.0
34.01690000,-84.3439400,303.0
34.01685000,-84.3439200,302.0
34.01680000,-84.3439000,302.0
34.01668000,-84.3437500,302.0
34.01665000,-84.3437300,302.0
34.01661000,-84.3437200,303.0
34.01656000,-84.3437400,303.0
34.01652000,-84.3437600,304.0
34.01647000,-84.3437900,304.0
34.01644000,-84.3438100,304.0
34.01640000,-84.3438400,305.0
34.01635000,-84.3438400,306.0
34.01634000,-84.3438300,306.0
34.01630000,-84.3438500,307.0
34.01623000,-84.3439000,308.0
34.01616000,-84.3439200,309.0
34.01609000,-84.3439600,310.0
34.01601000,-84.3440300,310.0
34.01597000,-84.3440600,310.0
34.01596000,-84.3440900,310.0
34.01594000,-84.3441400,310.0
34.01592000,-84.3442000,310.0
34.01590000,-84.3442300,310.0
34.01588000,-84.3442700,310.0
34.01584000,-84.3443200,310.0
34.01581000,-84.3443600,311.0
34.01579000,-84.3444000,311.0
34.01577000,-84.3444400,311.0
34.01575000,-84.3445000,311.0
34.01573000,-84.3445400,312.0
34.01572000,-84.3446000,312.0
34.01569000,-84.3446500,313.0
34.01567000,-84.3447400,314.0
34.01564000,-84.3448200,315.0
34.01559000,-84.3448900,315.0
34.01554000,-84.3449400,315.0
34.01548000,-84.3450400,316.0
34.01545000,-84.3451100,316.0
34.01542000,-84.3451900,317.0
34.01538000,-84.3452700,317.0
34.01535000,-84.3453400,318.0
34.01530000,-84.3454100,318.0
34.01524000,-84.3455100,319.0
34.01522000,-84.3455700,319.0
34.01516000,-84.3456500,320.0
34.01511000,-84.3457400,320.0
34.01500000,-84.3458900,321.0
34.01494000,-84.3460700,321.0
34.01492000,-84.3461700,322.0
34.01490000,-84.3461900,322.0
34.01488000,-84.3462000,322.0
34.01485000,-84.3462000,322.0
34.01482000,-84.3462000,322.0
34.01479000,-84.3461900,322.0
34.01475000,-84.3461600,322.0
