Latitude,Longitude,Elevation
34.00760000,-84.3509100,276.0
34.00761000,-84.3509200,277.0
34.00764000,-84.3509700,278.0
34.00767000,-84.3510200,278.0
34.00769000,-84.3510700,279.0
34.00773000,-84.3511100,280.0
34.00776000,-84.3511600,281.0
34.00779000,-84.3511900,282.0
34.00782000,-84.3512300,283.0
34.00787000,-84.3512600,284.0
34.00791000,-84.3512900,285.0
34.00795000,-84.3513000,286.0
34.00796000,-84.3512400,286.0
34.00793000,-84.3512000,285.0
34.00791000,-84.3511500,285.0
34.00789000,-84.3511000,284.0
34.00787000,-84.3510500,283.0
34.00785000,-84.3510000,283.0
34.00783000,-84.3509500,283.0
34.00782000,-84.3509000,282.0
34.00781000,-84.3508600,282.0
34.00780000,-84.3508300,282.0
34.00779000,-84.3508100,282.0
34.00778000,-84.3507700,282.0
34.00779000,-84.3506900,283.0
34.00780000,-84.3506600,283.0
34.00788000,-84.3505300,286.0
34.00791000,-84.3505000,287.0
34.00794000,-84.3505000,287.0
34.00795000,-84.3505300,287.0
34.00795000,-84.3505900,286.0
34.00796000,-84.3506900,286.0
34.00799000,-84.3507600,286.0
34.00802000,-84.3508100,287.0
34.00813000,-84.3509300,289.0
34.00816000,-84.3509800,290.0
34.00819000,-84.3510200,291.0
34.00822000,-84.3510500,292.0
34.00827000,-84.3511100,293.0
34.00833000,-84.3511900,294.0
34.00841000,-84.3513800,294.0
34.00842000,-84.3514100,294.0
34.00844000,-84.3514300,294.0
34.00855000,-84.3515400,294.0
34.00858000,-84.3515600,294.0
34.00862000,-84.3515700,295.0
34.00866000,-84.3515700,295.0
34.00872000,-84.3515500,296.0
34.00879000,-84.3515600,297.0
34.00883000,-84.3515800,298.0
34.00885000,-84.3515900,298.0
34.00886000,-84.3516100,298.0
34.00891000,-84.3516800,299.0
34.00899000,-84.3518100,300.0
34.00909000,-84.3520000,301.0
34.00913000,-84.3520600,301.0
34.00916000,-84.3521300,301.0
34.00923000,-84.3522400,301.0
34.00932000,-84.3523700,302.0
34.00937000,-84.3524200,303.0
34.00942000,-84.3524500,304.0
34.00947000,-84.3524800,306.0
34.00955000,-84.3525100,308.0
34.00967000,-84.3525500,311.0
34.00976000,-84.3525800,313.0
34.00981000,-84.3526100,314.0
34.00991000,-84.3527300,314.0
34.00994000,-84.3527800,314.0
34.00998000,-84.3528200,314.0
34.01005000,-84.3528700,312.0
34.01009000,-84.3529000,311.0
34.01014000,-84.3529000,311.0
34.01019000,-84.3529100,312.0
34.01023000,-84.3529200,312.0
34.01025000,-84.3529300,312.0
34.01027000,-84.3529500,312.0
34.01031000,-84.3530100,311.0
34.01035000,-84.3530700,311.0
34.01039000,-84.3531400,310.0
34.01050000,-84.3532400,309.0
34.01056000,-84.3533100,308.0
34.01061000,-84.3533400,309.0
34.01068000,-84.3533700,309.0
34.01073000,-84.3533900,310.0
34.01082000,-84.3534600,308.0
34.01088000,-84.3534800,308.0
34.01092000,-84.3534900,308.0
34.01096000,-84.3534900,308.0
34.01100000,-84.3534800,309.0
34.01105000,-84.3534700,310.0
34.01107000,-84.3534300,311.0
34.01109000,-84.3533700,313.0
34.01111000,-84.3532900,315.0
34.01115000,-84.3531800,317.0
34.01116000,-84.3530900,319.0
34.01117000,-84.3530600,319.0
34.01117000,-84.3529900,320.0
34.01119000,-84.3528900,322.0
34.01122000,-84.3528100,323.0
34.01125000,-84.3527400,324.0
34.01127000,-84.3527000,324.0
34.01128000,-84.3526300,325.0
34.01128000,-84.3525800,326.0
34.01127000,-84.3525100,327.0
34.01128000,-84.3524100,327.0
34.01129000,-84.3522700,328.0
34.01130000,-84.3522400,329.0
34.01129000,-84.3521800,329.0
34.01124000,-84.3520700,328.0
34.01124000,-84.3520300,328.0
34.01124000,-84.3519900,328.0
34.01126000,-84.3519300,328.0
34.01127000,-84.3518800,328.0
34.01125000,-84.3517300,328.0
34.01125000,-84.3516300,328.0
34.01126000,-84.3515600,328.0
34.01127000,-84.3515100,328.0
34.01128000,-84.3514800,328.0
34.01127000,-84.3514200,328.0
34.01125000,-84.3513300,327.0
34.01125000,-84.3512800,327.0
34.01126000,-84.3512300,327.0
34.01128000,-84.3511700,327.0
34.01131000,-84.3511200,327.0
34.01138000,-84.3510600,327.0
34.01141000,-84.3510500,327.0
34.01143000,-84.3510500,327.0
34.01145000,-84.3510600,327.0
34.01158000,-84.3512100,327.0
34.01166000,-84.3512700,327.0
34.01173000,-84.3513200,327.0
34.01181000,-84.3513700,328.0
34.01186000,-84.3514000,328.0
34.01191000,-84.3514500,328.0
34.01197000,-84.3515400,329.0
34.01204000,-84.3516200,330.0
34.01205000,-84.3516500,330.0
34.01207000,-84.3517000,331.0
34.01208000,-84.3517600,331.0
34.01207000,-84.3518300,331.0
34.01203000,-84.3519700,330.0
34.01201000,-84.3520900,330.0
34.01201000,-84.3521500,330.0
34.01202000,-84.3522000,331.0
34.01202000,-84.3522400,331.0
34.01206000,-84.3524500,331.0
34.01206000,-84.3524900,331.0
34.01207000,-84.3525100,331.0
34.01208000,-84.3525500,331.0
34.01208000,-84.3526100,331.0
34.01211000,-84.3528000,330.0
34.01211000,-84.3530200,329.0
34.01210000,-84.3530600,329.0
34.01210000,-84.3531100,328.0
34.01209000,-84.3531500,328.0
34.01209000,-84.3532300,328.0
34.01212000,-84.3533200,327.0
34.01218000,-84.3534100,328.0
34.01223000,-84.3534900,328.0
34.01227000,-84.3535400,328.0
34.01229000,-84.3536000,328.0
34.01231000,-84.3536600,328.0
34.01235000,-84.3537400,328.0
34.01237000,-84.3538100,327.0
34.01237000,-84.3538900,327.0
34.01236000,-84.3539300,326.0
34.01235000,-84.3539500,326.0
34.01232000,-84.3539700,326.0
34.01227000,-84.3539900,327.0
34.01223000,-84.3539800,327.0
34.01212000,-84.3539500,327.0
34.01206000,-84.3539700,327.0
34.01204000,-84.3540000,327.0
34.01201000,-84.3540500,326.0
34.01200000,-84.3541200,326.0
34.01200000,-84.3541800,325.0
34.01199000,-84.3542400,325.0
34.01199000,-84.3543000,325.0
34.01200000,-84.3543500,325.0
34.01201000,-84.3544800,324.0
34.01203000,-84.3545500,323.0
34.01203000,-84.3545900,322.0
34.01211000,-84.3548000,321.0
34.01220000,-84.3550200,321.0
34.01223000,-84.3551200,322.0
34.01224000,-84.3552000,322.0
34.01225000,-84.3552700,322.0
34.01226000,-84.3553700,322.0
34.01228000,-84.3555200,321.0
34.01227000,-84.3555900,321.0
34.01227000,-84.3556900,320.0
34.01226000,-84.3557500,319.0
34.01226000,-84.3558100,318.0
34.01225000,-84.3558600,317.0
34.01225000,-84.3560500,315.0
34.01224000,-84.3561500,315.0
34.01224000,-84.3562400,314.0
34.01224000,-84.3563500,314.0
34.01225000,-84.3564500,313.0
34.01226000,-84.3565800,313.0
34.01226000,-84.3566900,313.0
34.01227000,-84.3567200,313.0
34.01227000,-84.3567700,312.0
34.01226000,-84.3568200,312.0
34.01226000,-84.3569400,311.0
34.01225000,-84.3569900,311.0
34.01225000,-84.3570800,311.0
34.01227000,-84.3571700,311.0
34.01227000,-84.3571900,311.0
