Latitude,Longitude,Elevation
34.83838000,-85.4898000,563.0
34.83847000,-85.4898400,563.0
34.83851000,-85.4898700,563.0
34.83856000,-85.4898900,563.0
34.83861000,-85.4899200,563.0
34.83865000,-85.4899400,563.0
34.83869000,-85.4899700,563.0
34.83873000,-85.4899900,563.0
34.83878000,-85.4900100,564.0
34.83883000,-85.4900300,564.0
34.83888000,-85.4900500,564.0
34.83893000,-85.4900700,564.0
34.83898000,-85.4900800,564.0
34.83902000,-85.4900800,564.0
34.83907000,-85.4900900,565.0
34.83912000,-85.4901000,565.0
34.83917000,-85.4901100,565.0
34.83921000,-85.4901100,565.0
34.83927000,-85.4900900,566.0
34.83931000,-85.4900800,566.0
34.83936000,-85.4900600,566.0
34.83940000,-85.4900500,566.0
34.83945000,-85.4900500,567.0
34.83950000,-85.4900500,567.0
34.83954000,-85.4900500,567.0
34.83959000,-85.4900500,568.0
34.83964000,-85.4900500,568.0
34.83969000,-85.4900600,568.0
34.83974000,-85.4900600,568.0
34.83979000,-85.4900700,568.0
34.83984000,-85.4900800,568.0
34.83989000,-85.4900800,568.0
34.83993000,-85.4900900,568.0
34.83998000,-85.4901100,568.0
34.84000000,-85.4901100,568.0
34.84012000,-85.4901300,569.0
34.84016000,-85.4901300,570.0
34.84021000,-85.4901300,570.0
34.84026000,-85.4901300,570.0
34.84031000,-85.4901200,571.0
34.84035000,-85.4900900,571.0
34.84039000,-85.4900600,571.0
34.84042000,-85.4900200,571.0
34.84046000,-85.4899900,571.0
34.84050000,-85.4899500,571.0
34.84053000,-85.4899100,571.0
34.84057000,-85.4898800,571.0
34.84061000,-85.4898400,571.0
34.84065000,-85.4898200,571.0
34.84069000,-85.4898200,571.0
34.84074000,-85.4898400,572.0
34.84079000,-85.4898500,572.0
34.84084000,-85.4898600,573.0
34.84088000,-85.4898600,573.0
34.84093000,-85.4898400,572.0
34.84097000,-85.4898100,572.0
34.84101000,-85.4897700,572.0
34.84104000,-85.4897300,571.0
34.84108000,-85.4897000,571.0
34.84111000,-85.4896600,571.0
34.84114000,-85.4896100,570.0
34.84117000,-85.4895700,570.0
34.84119000,-85.4895200,570.0
34.84122000,-85.4894800,570.0
34.84124000,-85.4894300,569.0
34.84127000,-85.4893800,569.0
34.84130000,-85.4893300,568.0
34.84132000,-85.4892800,568.0
34.84134000,-85.4892200,567.0
34.84136000,-85.4891700,566.0
34.84138000,-85.4891100,566.0
34.84139000,-85.4890500,564.0
34.84140000,-85.4890000,564.0
34.84141000,-85.4889500,563.0
34.84141000,-85.4888900,562.0
34.84139000,-85.4888300,561.0
34.84136000,-85.4887900,560.0
34.84131000,-85.4887700,560.0
34.84126000,-85.4887500,560.0
34.84121000,-85.4887400,560.0
34.84117000,-85.4887100,559.0
34.84113000,-85.4886700,559.0
34.84109000,-85.4886300,559.0
34.84105000,-85.4886100,558.0
34.84100000,-85.4885800,558.0
34.84096000,-85.4885500,557.0
34.84091000,-85.4885300,557.0
34.84086000,-85.4885200,557.0
34.84080000,-85.4885200,556.0
34.84075000,-85.4885200,556.0
34.84070000,-85.4885200,556.0
34.84066000,-85.4885200,556.0
34.84061000,-85.4885100,556.0
34.84059000,-85.4884600,556.0
34.84061000,-85.4884000,556.0
34.84064000,-85.4883500,555.0
34.84067000,-85.4883100,555.0
34.84070000,-85.4882700,555.0
34.84073000,-85.4882200,554.0
34.84074000,-85.4881600,554.0
34.84075000,-85.4881200,554.0
34.84080000,-85.4880200,553.0
34.84082000,-85.4879600,553.0
34.84084000,-85.4879200,553.0
34.84086000,-85.4878600,552.0
34.84087000,-85.4878000,552.0
34.84088000,-85.4877400,551.0
34.84090000,-85.4876800,551.0
34.84091000,-85.4876300,551.0
34.84092000,-85.4875700,551.0
34.84093000,-85.4875200,550.0
34.84094000,-85.4874600,550.0
34.84095000,-85.4873900,550.0
34.84095000,-85.4873300,550.0
34.84095000,-85.4872700,550.0
34.84096000,-85.4872200,550.0
34.84099000,-85.4871700,550.0
34.84101000,-85.4871200,549.0
34.84105000,-85.4870800,549.0
34.84108000,-85.4870400,548.0
34.84109000,-85.4869800,548.0
34.84109000,-85.4869200,548.0
34.84106000,-85.4868800,548.0
34.84102000,-85.4868600,548.0
34.84098000,-85.4868200,548.0
34.84094000,-85.4868000,548.0
34.84089000,-85.4867700,549.0
34.84086000,-85.4867300,549.0
34.84084000,-85.4866800,549.0
34.84082000,-85.4866300,548.0
34.84080000,-85.4865700,547.0
34.84079000,-85.4865200,547.0
34.84079000,-85.4864500,546.0
34.84079000,-85.4863900,545.0
34.84080000,-85.4863300,544.0
34.84081000,-85.4862700,544.0
34.84082000,-85.4862100,544.0
34.84083000,-85.4861500,544.0
34.84084000,-85.4861000,543.0
34.84084000,-85.4860400,543.0
34.84085000,-85.4859700,543.0
34.84085000,-85.4859200,542.0
34.84086000,-85.4858500,542.0
34.84087000,-85.4857900,541.0
34.84087000,-85.4857300,541.0
34.84087000,-85.4856700,541.0
34.84088000,-85.4856100,541.0
34.84088000,-85.4855500,541.0
34.84085000,-85.4855100,540.0
34.84082000,-85.4854700,540.0
34.84077000,-85.4854300,539.0
34.84073000,-85.4854500,539.0
34.84068000,-85.4854700,539.0
34.84063000,-85.4854600,538.0
34.84060000,-85.4854200,538.0
34.84056000,-85.4853800,537.0
34.84053000,-85.4853400,537.0
34.84049000,-85.4853000,537.0
34.84045000,-85.4852700,537.0
34.84043000,-85.4852700,537.0
34.84036000,-85.4852400,536.0
34.84031000,-85.4852400,536.0
34.84026000,-85.4852600,536.0
34.84022000,-85.4852800,536.0
34.84017000,-85.4853000,536.0
34.84013000,-85.4853000,536.0
34.84008000,-85.4853000,536.0
34.84003000,-85.4852800,536.0
34.83998000,-85.4852500,535.0
34.83994000,-85.4852200,535.0
34.83989000,-85.4852100,535.0
34.83984000,-85.4852000,535.0
34.83979000,-85.4852100,535.0
34.83973000,-85.4852100,535.0
34.83968000,-85.4852000,535.0
34.83963000,-85.4852000,535.0
34.83957000,-85.4852000,535.0
34.83953000,-85.4852000,535.0
34.83948000,-85.4852000,535.0
34.83943000,-85.4852000,535.0
34.83939000,-85.4851800,535.0
34.83933000,-85.4851600,536.0
34.83928000,-85.4851500,536.0
34.83923000,-85.4851400,536.0
34.83918000,-85.4851300,536.0
34.83913000,-85.4851100,536.0
34.83908000,-85.4851000,536.0
34.83903000,-85.4850900,536.0
34.83899000,-85.4850700,536.0
34.83892000,-85.4850400,536.0
34.83889000,-85.4849900,535.0
34.83886000,-85.4849300,535.0
34.83885000,-85.4848800,535.0
34.83886000,-85.4848200,535.0
34.83883000,-85.4847700,535.0
34.83878000,-85.4847700,535.0
34.83874000,-85.4847700,535.0
34.83870000,-85.4847400,536.0
34.83871000,-85.4846800,535.0
34.83874000,-85.4846300,535.0
34.83876000,-85.4845800,535.0
34.83878000,-85.4845300,535.0
34.83880000,-85.4844700,534.0
34.83881000,-85.4844100,534.0
34.83882000,-85.4843500,535.0
34.83882000,-85.4842800,535.0
34.83881000,-85.4842200,535.0
34.83880000,-85.4841600,536.0
34.83877000,-85.4841100,536.0
34.83874000,-85.4840600,537.0
34.83872000,-85.4840100,537.0
34.83870000,-85.4839500,538.0
34.83869000,-85.4838700,538.0
34.83867000,-85.4838000,539.0
34.83866000,-85.4837400,539.0
34.83866000,-85.4836800,539.0
34.83865000,-85.4836200,539.0
34.83862000,-85.4835700,539.0
34.83861000,-85.4835100,539.0
34.83861000,-85.4834600,538.0
34.83861000,-85.4834000,538.0
34.83861000,-85.4833500,538.0
34.83861000,-85.4832800,537.0
34.83861000,-85.4832300,537.0
34.83860000,-85.4831600,536.0
34.83858000,-85.4831100,536.0
34.83857000,-85.4830500,536.0
34.83856000,-85.4830000,535.0
34.83854000,-85.4829500,534.0
34.83852000,-85.4828900,534.0
34.83850000,-85.4828400,533.0
34.83846000,-85.4827900,533.0
34.83843000,-85.4827500,532.0
34.83840000,-85.4827000,530.0
34.83837000,-85.4826700,530.0
34.83833000,-85.4826300,529.0
34.83828000,-85.4826100,529.0
34.83824000,-85.4825900,528.0
34.83819000,-85.4825800,529.0
34.83813000,-85.4825700,529.0
34.83808000,-85.4825500,530.0
34.83805000,-85.4825400,530.0
34.83797000,-85.4824600,529.0
34.83793000,-85.4824500,529.0
34.83788000,-85.4824300,529.0
34.83787000,-85.4823700,529.0
34.83787000,-85.4823200,528.0
34.83785000,-85.4822700,528.0
34.83782000,-85.4822300,528.0
34.83778000,-85.4821900,527.0
34.83774000,-85.4821500,526.0
34.83770000,-85.4821200,524.0
34.83765000,-85.4821100,524.0
34.83760000,-85.4821200,524.0
34.83755000,-85.4821400,525.0
34.83751000,-85.4821700,525.0
34.83748000,-85.4822100,526.0
34.83745000,-85.4822600,526.0
34.83742000,-85.4822900,526.0
34.83738000,-85.4823200,526.0
34.83733000,-85.4823300,526.0
34.83728000,-85.4823400,525.0
34.83722000,-85.4823400,524.0
34.83718000,-85.4823300,523.0
34.83711000,-85.4823200,522.0
34.83706000,-85.4823100,521.0
34.83701000,-85.4823300,520.0
34.83697000,-85.4823500,520.0
34.83693000,-85.4823900,520.0
34.83690000,-85.4824300,521.0
34.83687000,-85.4824700,521.0
34.83684000,-85.4825200,522.0
34.83683000,-85.4825700,523.0
34.83683000,-85.4826300,525.0
34.83680000,-85.4826800,526.0
34.83677000,-85.4827200,526.0
34.83674000,-85.4827700,527.0
34.83673000,-85.4828200,528.0
34.83671000,-85.4828800,530.0
34.83667000,-85.4829100,529.0
34.83666000,-85.4829200,529.0
34.83660000,-85.4830500,530.0
34.83658000,-85.4831100,531.0
34.83656000,-85.4831600,532.0
34.83653000,-85.4832100,532.0
34.83648000,-85.4832400,531.0
34.83643000,-85.4832700,530.0
34.83639000,-85.4832900,530.0
34.83636000,-85.4833400,531.0
34.83635000,-85.4834000,532.0
34.83635000,-85.4834600,533.0
34.83636000,-85.4835200,535.0
34.83636000,-85.4835800,536.0
34.83634000,-85.4836200,537.0
34.83631000,-85.4836700,537.0
34.83629000,-85.4837300,537.0
34.83627000,-85.4837800,538.0
34.83626000,-85.4838500,539.0
34.83626000,-85.4839000,539.0
34.83624000,-85.4839600,540.0
34.83621000,-85.4840100,540.0
34.83617000,-85.4840300,540.0
34.83612000,-85.4840300,539.0
34.83607000,-85.4840100,538.0
34.83603000,-85.4840100,537.0
34.83598000,-85.4840200,536.0
34.83595000,-85.4840600,536.0
34.83592000,-85.4841100,537.0
34.83589000,-85.4841600,537.0
34.83586000,-85.4842000,538.0
34.83583000,-85.4842500,538.0
34.83580000,-85.4843000,538.0
34.83577000,-85.4843400,539.0
34.83575000,-85.4843900,539.0
34.83572000,-85.4844400,540.0
34.83567000,-85.4844700,540.0
34.83564000,-85.4845000,540.0
34.83560000,-85.4845300,540.0
34.83557000,-85.4845700,540.0
34.83554000,-85.4846100,540.0
34.83551000,-85.4846500,540.0
34.83547000,-85.4846900,540.0
34.83543000,-85.4847300,540.0
34.83540000,-85.4847700,539.0
34.83536000,-85.4848100,539.0
34.83532000,-85.4848400,538.0
34.83528000,-85.4848600,538.0
34.83524000,-85.4848800,537.0
34.83519000,-85.4849100,537.0
34.83517000,-85.4849100,536.0
34.83503000,-85.4849800,536.0
34.83498000,-85.4849800,535.0
34.83494000,-85.4850100,536.0
34.83489000,-85.4850100,536.0
34.83484000,-85.4850100,536.0
34.83478000,-85.4850200,537.0
34.83474000,-85.4850200,537.0
34.83469000,-85.4850300,537.0
34.83464000,-85.4850600,537.0
34.83460000,-85.4850900,537.0
34.83456000,-85.4851100,537.0
34.83450000,-85.4851300,536.0
34.83446000,-85.4851400,536.0
34.83441000,-85.4851700,536.0
34.83436000,-85.4851900,536.0
34.83432000,-85.4852000,536.0
34.83427000,-85.4852200,536.0
34.83423000,-85.4852400,536.0
34.83419000,-85.4852800,537.0
34.83417000,-85.4853200,537.0
34.83414000,-85.4853600,538.0
34.83409000,-85.4854000,538.0
34.83405000,-85.4854200,538.0
34.83400000,-85.4854400,539.0
34.83397000,-85.4854700,539.0
34.83393000,-85.4855200,540.0
34.83391000,-85.4855700,541.0
34.83388000,-85.4856300,542.0
34.83385000,-85.4856700,543.0
34.83382000,-85.4857200,544.0
34.83379000,-85.4857600,545.0
34.83375000,-85.4858000,545.0
34.83371000,-85.4858200,546.0
34.83366000,-85.4858400,546.0
34.83362000,-85.4858600,546.0
34.83359000,-85.4859000,547.0
34.83355000,-85.4859400,548.0
34.83348000,-85.4860200,550.0
34.83343000,-85.4860400,551.0
34.83338000,-85.4860500,552.0
34.83333000,-85.4860500,552.0
34.83328000,-85.4860500,552.0
34.83322000,-85.4860400,551.0
34.83317000,-85.4860100,550.0
34.83313000,-85.4860000,549.0
34.83308000,-85.4860000,549.0
34.83302000,-85.4860100,549.0
34.83297000,-85.4860200,549.0
34.83294000,-85.4860100,549.0
34.83289000,-85.4859700,547.0
34.83284000,-85.4859500,547.0
34.83278000,-85.4859100,546.0
34.83274000,-85.4858900,545.0
34.83269000,-85.4858800,545.0
34.83265000,-85.4858200,543.0
34.83261000,-85.4857700,541.0
34.83260000,-85.4857200,540.0
34.83262000,-85.4856700,538.0
34.83267000,-85.4856700,538.0
34.83271000,-85.4856900,539.0
34.83276000,-85.4857000,539.0
34.83281000,-85.4857000,539.0
34.83286000,-85.4856900,538.0
34.83290000,-85.4856700,538.0
34.83295000,-85.4856600,537.0
34.83300000,-85.4856500,536.0
34.83304000,-85.4856300,535.0
34.83309000,-85.4856100,535.0
34.83313000,-85.4855700,534.0
34.83318000,-85.4855400,533.0
34.83323000,-85.4855300,532.0
34.83327000,-85.4855000,531.0
34.83332000,-85.4854800,531.0
34.83336000,-85.4854400,530.0
34.83334000,-85.4853900,527.0
34.83330000,-85.4853900,526.0
34.83324000,-85.4854000,526.0
34.83316000,-85.4854200,526.0
34.83311000,-85.4854200,526.0
34.83306000,-85.4854300,526.0
34.83299000,-85.4854300,526.0
34.83294000,-85.4854300,527.0
34.83288000,-85.4854300,527.0
34.83283000,-85.4854200,527.0
34.83275000,-85.4853900,527.0
34.83271000,-85.4853800,527.0
34.83267000,-85.4853600,526.0
34.83262000,-85.4853300,525.0
34.83258000,-85.4853000,524.0
34.83253000,-85.4852600,524.0
34.83249000,-85.4852200,523.0
34.83245000,-85.4851700,522.0
34.83242000,-85.4851100,521.0
34.83238000,-85.4850700,520.0
34.83234000,-85.4850400,521.0
34.83233000,-85.4850300,521.0
34.83222000,-85.4849500,522.0
34.83218000,-85.4849200,523.0
34.83214000,-85.4848900,524.0
34.83210000,-85.4848500,524.0
34.83207000,-85.4848000,525.0
34.83206000,-85.4847400,524.0
34.83210000,-85.4847100,522.0
34.83214000,-85.4847200,521.0
34.83219000,-85.4847500,521.0
34.83222000,-85.4847800,520.0
34.83227000,-85.4848200,520.0
34.83231000,-85.4848400,519.0
34.83236000,-85.4848700,518.0
34.83241000,-85.4848800,517.0
34.83246000,-85.4848800,516.0
34.83252000,-85.4848600,515.0
34.83256000,-85.4848400,514.0
34.83259000,-85.4847900,514.0
34.83261000,-85.4847300,513.0
34.83264000,-85.4846900,513.0
34.83269000,-85.4846700,513.0
34.83273000,-85.4846900,512.0
34.83277000,-85.4847200,512.0
34.83281000,-85.4847500,511.0
34.83288000,-85.4847800,510.0
34.83293000,-85.4848100,509.0
34.83298000,-85.4848400,509.0
34.83302000,-85.4848500,508.0
34.83307000,-85.4848600,508.0
34.83312000,-85.4848400,508.0
34.83315000,-85.4848000,507.0
34.83318000,-85.4847500,507.0
34.83319000,-85.4847000,507.0
34.83320000,-85.4846400,507.0
34.83321000,-85.4845800,507.0
34.83321000,-85.4845200,508.0
34.83321000,-85.4844700,508.0
34.83321000,-85.4844100,509.0
34.83322000,-85.4843500,511.0
34.83325000,-85.4842900,513.0
34.83327000,-85.4842400,514.0
34.83329000,-85.4841800,515.0
34.83331000,-85.4841300,517.0
34.83334000,-85.4840600,520.0
34.83336000,-85.4840100,522.0
34.83338000,-85.4839700,523.0
34.83346000,-85.4838400,527.0
34.83349000,-85.4837900,529.0
34.83351000,-85.4837400,530.0
34.83353000,-85.4836900,532.0
34.83357000,-85.4836500,533.0
34.83361000,-85.4836200,533.0
34.83365000,-85.4835900,532.0
34.83370000,-85.4835600,529.0
34.83375000,-85.4835400,527.0
34.83379000,-85.4835200,525.0
34.83386000,-85.4835100,522.0
34.83391000,-85.4835000,519.0
34.83396000,-85.4835100,514.0
34.83401000,-85.4835100,509.0
34.83405000,-85.4834900,507.0
34.83410000,-85.4834500,506.0
34.83413000,-85.4834100,506.0
34.83416000,-85.4833700,508.0
34.83419000,-85.4833300,509.0
34.83420000,-85.4832700,508.0
34.83423000,-85.4832200,507.0
34.83426000,-85.4831700,506.0
34.83429000,-85.4831300,505.0
34.83433000,-85.4830900,503.0
34.83436000,-85.4830600,502.0
34.83440000,-85.4830200,502.0
34.83446000,-85.4829800,501.0
34.83450000,-85.4829600,500.0
34.83455000,-85.4829400,499.0
34.83460000,-85.4829400,496.0
34.83465000,-85.4829300,494.0
34.83468000,-85.4828900,494.0
34.83470000,-85.4828400,495.0
34.83472000,-85.4828000,495.0
34.83475000,-85.4826300,495.0
34.83475000,-85.4825700,495.0
34.83477000,-85.4825100,494.0
34.83479000,-85.4824600,494.0
34.83480000,-85.4824100,495.0
34.83482000,-85.4823500,495.0
34.83484000,-85.4822800,495.0
34.83487000,-85.4822300,493.0
34.83490000,-85.4821800,490.0
34.83493000,-85.4821200,489.0
34.83496000,-85.4820700,487.0
34.83500000,-85.4820400,483.0
34.83504000,-85.4820000,481.0
34.83508000,-85.4819600,479.0
34.83510000,-85.4819100,481.0
34.83512000,-85.4818500,484.0
34.83513000,-85.4818000,488.0
34.83515000,-85.4817400,490.0
34.83517000,-85.4816800,493.0
34.83520000,-85.4816300,494.0
34.83522000,-85.4815800,496.0
34.83526000,-85.4815400,497.0
34.83528000,-85.4814900,500.0
34.83529000,-85.4814300,505.0
34.83529000,-85.4813300,514.0
34.83529000,-85.4812700,518.0
34.83530000,-85.4812000,521.0
34.83532000,-85.4811500,522.0
34.83536000,-85.4811200,521.0
34.83541000,-85.4811300,514.0
34.83544000,-85.4811800,504.0
34.83546000,-85.4812300,493.0
34.83547000,-85.4813000,481.0
34.83547000,-85.4813700,470.0
34.83547000,-85.4814300,463.0
34.83546000,-85.4814900,460.0
34.83546000,-85.4815500,456.0
34.83546000,-85.4815600,455.0
34.83545000,-85.4817000,448.0
34.83545000,-85.4817600,445.0
34.83544000,-85.4818300,444.0
34.83543000,-85.4819000,442.0
34.83544000,-85.4819600,439.0
34.83545000,-85.4820200,436.0
34.83545000,-85.4820800,434.0
34.83545000,-85.4821400,433.0
34.83543000,-85.4821900,432.0
34.83541000,-85.4822500,433.0
34.83540000,-85.4823300,434.0
34.83539000,-85.4823900,435.0
34.83540000,-85.4824500,436.0
34.83538000,-85.4825000,437.0
34.83535000,-85.4825500,441.0
34.83533000,-85.4825900,443.0
34.83530000,-85.4826500,447.0
34.83528000,-85.4826900,449.0
34.83523000,-85.4827100,455.0
34.83520000,-85.4827500,459.0
34.83519000,-85.4827600,460.0
34.83520000,-85.4827500,459.0
34.83523000,-85.4827100,455.0
34.83528000,-85.4826900,449.0
34.83530000,-85.4826500,447.0
34.83533000,-85.4825900,443.0
34.83535000,-85.4825500,441.0
34.83538000,-85.4825000,437.0
34.83540000,-85.4824500,436.0
34.83539000,-85.4823900,435.0
34.83540000,-85.4823300,434.0
34.83541000,-85.4822500,433.0
34.83543000,-85.4821900,432.0
34.83545000,-85.4821400,433.0
34.83545000,-85.4820800,434.0
34.83545000,-85.4820200,436.0
34.83544000,-85.4819600,439.0
34.83543000,-85.4819000,442.0
34.83544000,-85.4818300,444.0
34.83545000,-85.4817600,445.0
34.83545000,-85.4817000,448.0
34.83546000,-85.4815600,455.0
34.83546000,-85.4815500,456.0
34.83553000,-85.4815600,441.0
34.83557000,-85.4815400,436.0
34.83560000,-85.4814900,437.0
34.83562000,-85.4814400,439.0
34.83564000,-85.4813900,439.0
34.83568000,-85.4813400,445.0
34.83572000,-85.4813100,446.0
34.83577000,-85.4813100,441.0
34.83581000,-85.4813300,434.0
34.83585000,-85.4813500,429.0
34.83588000,-85.4813700,427.0
34.83585000,-85.4813500,429.0
34.83581000,-85.4813300,434.0
34.83577000,-85.4813100,441.0
34.83572000,-85.4813100,446.0
34.83568000,-85.4813400,445.0
34.83564000,-85.4813900,439.0
34.83562000,-85.4814400,439.0
34.83560000,-85.4814900,437.0
34.83557000,-85.4815400,436.0
34.83553000,-85.4815600,441.0
