Latitude,Longitude,Elevation
33.89149000,-84.4451500,292.0
33.89148000,-84.4451200,292.0
33.89124000,-84.4452100,292.0
33.89114000,-84.4452900,292.0
33.89109000,-84.4454000,293.0
33.89099000,-84.4455000,294.0
33.89088000,-84.4455400,294.0
33.89080000,-84.4456200,295.0
33.89076000,-84.4456100,294.0
33.89072000,-84.4456200,294.0
33.89069000,-84.4456400,293.0
33.89067000,-84.4456700,293.0
33.89065000,-84.4457100,294.0
33.89064000,-84.4457300,294.0
33.89061000,-84.4457400,293.0
33.89058000,-84.4457500,293.0
33.89054000,-84.4457400,292.0
33.89049000,-84.4457100,291.0
33.89043000,-84.4456900,290.0
33.89039000,-84.4456600,289.0
33.89034000,-84.4456200,288.0
33.89031000,-84.4455700,288.0
33.89027000,-84.4455200,288.0
33.89023000,-84.4454900,288.0
33.89018000,-84.4454900,287.0
33.89013000,-84.4454900,287.0
33.89011000,-84.4454700,287.0
33.89010000,-84.4454500,287.0
33.89008000,-84.4454200,286.0
33.89006000,-84.4453800,286.0
33.89007000,-84.4453500,287.0
33.89008000,-84.4453200,287.0
33.89009000,-84.4453000,287.0
33.89013000,-84.4452800,288.0
33.89016000,-84.4452700,288.0
33.89019000,-84.4452400,289.0
33.89020000,-84.4452100,288.0
33.89021000,-84.4451700,288.0
33.89021000,-84.4451200,288.0
33.89024000,-84.4450800,288.0
33.89026000,-84.4450400,288.0
33.89027000,-84.4450000,287.0
33.89026000,-84.4449700,287.0
33.89022000,-84.4449300,286.0
33.89018000,-84.4449200,285.0
33.89015000,-84.4449100,284.0
33.89010000,-84.4448900,283.0
33.89005000,-84.4448500,281.0
33.89004000,-84.4448200,280.0
33.89005000,-84.4447700,280.0
33.89006000,-84.4447200,279.0
33.89007000,-84.4446900,279.0
33.89010000,-84.4446700,279.0
33.89015000,-84.4446500,280.0
33.89022000,-84.4446300,281.0
33.89029000,-84.4446100,283.0
33.89033000,-84.4445900,283.0
33.89036000,-84.4445700,283.0
33.89038000,-84.4445600,284.0
33.89037000,-84.4445400,283.0
33.89036000,-84.4445100,283.0
33.89033000,-84.4444900,283.0
33.89029000,-84.4444700,282.0
33.89021000,-84.4444600,280.0
33.89017000,-84.4444500,278.0
33.89012000,-84.4444400,277.0
33.89009000,-84.4444100,276.0
33.89004000,-84.4444200,274.0
33.88997000,-84.4444000,273.0
33.88991000,-84.4443800,272.0
33.88985000,-84.4443600,271.0
33.88977000,-84.4443200,270.0
33.88971000,-84.4443000,269.0
33.88960000,-84.4442500,267.0
33.88957000,-84.4442300,266.0
33.88951000,-84.4442000,265.0
33.88949000,-84.4441500,264.0
33.88947000,-84.4441200,263.0
33.88946000,-84.4440900,263.0
33.88945000,-84.4440700,263.0
33.88944000,-84.4440500,262.0
33.88943000,-84.4440500,262.0
33.88942000,-84.4440700,262.0
33.88941000,-84.4441000,262.0
33.88941000,-84.4441400,262.0
33.88943000,-84.4441900,264.0
33.88945000,-84.4442100,264.0
33.88946000,-84.4442500,265.0
33.88947000,-84.4442900,266.0
33.88948000,-84.4443100,266.0
33.88949000,-84.4443300,266.0
33.88949000,-84.4443500,267.0
33.88946000,-84.4443900,267.0
33.88943000,-84.4444100,267.0
33.88937000,-84.4444300,266.0
33.88932000,-84.4444400,265.0
33.88928000,-84.4444300,264.0
33.88923000,-84.4444000,262.0
33.88914000,-84.4443500,259.0
33.88911000,-84.4443000,258.0
33.88907000,-84.4442600,256.0
33.88906000,-84.4442200,256.0
33.88904000,-84.4442000,255.0
33.88900000,-84.4442100,254.0
33.88896000,-84.4442200,254.0
33.88893000,-84.4442100,253.0
33.88891000,-84.4442000,252.0
33.88891000,-84.4441700,252.0
33.88887000,-84.4440800,251.0
33.88887000,-84.4439600,250.0
33.88890000,-84.4438500,249.0
33.88901000,-84.4436900,249.0
33.88914000,-84.4435400,248.0
33.88935000,-84.4432800,247.0
