Latitude,Longitude,Elevation
34.56533000,-84.2488800,708.0
34.56532000,-84.2488800,707.0
34.56532000,-84.2488300,707.0
34.56533000,-84.2487600,708.0
34.56540000,-84.2486000,711.0
34.56544000,-84.2484800,713.0
34.56549000,-84.2481300,712.0
34.56553000,-84.2479500,710.0
34.56558000,-84.2477700,708.0
34.56563000,-84.2476100,706.0
34.56568000,-84.2474700,704.0
34.56576000,-84.2473800,705.0
34.56580000,-84.2473000,704.0
34.56582000,-84.2471100,699.0
34.56586000,-84.2468700,696.0
34.56589000,-84.2467700,696.0
34.56595000,-84.2466700,696.0
34.56617000,-84.2464400,699.0
34.56631000,-84.2463400,701.0
34.56646000,-84.2462000,706.0
34.56665000,-84.2458600,712.0
34.56681000,-84.2454200,720.0
34.56685000,-84.2451400,730.0
34.56683000,-84.2449700,735.0
34.56681000,-84.2448200,745.0
34.56672000,-84.2447400,743.0
34.56681000,-84.2448200,745.0
34.56683000,-84.2449700,735.0
34.56685000,-84.2451400,730.0
34.56681000,-84.2454200,720.0
34.56665000,-84.2458600,712.0
34.56646000,-84.2462000,706.0
34.56631000,-84.2463400,701.0
34.56617000,-84.2464400,699.0
34.56595000,-84.2466700,696.0
34.56589000,-84.2467700,696.0
34.56586000,-84.2468700,696.0
34.56582000,-84.2471100,699.0
34.56580000,-84.2473000,704.0
34.56576000,-84.2473800,705.0
34.56568000,-84.2474700,704.0
34.56563000,-84.2476100,706.0
34.56558000,-84.2477700,708.0
34.56553000,-84.2479500,710.0
34.56549000,-84.2481300,712.0
34.56544000,-84.2484800,713.0
34.56540000,-84.2486000,711.0
34.56533000,-84.2487600,708.0
34.56532000,-84.2488300,707.0
34.56532000,-84.2488800,707.0
34.56533000,-84.2488800,708.0
