Latitude,Longitude,Elevation
34.84520000,-85.4910600,593.0
34.84529000,-85.4909800,593.0
34.84533000,-85.4909400,593.0
34.84540000,-85.4909000,593.0
34.84551000,-85.4908200,594.0
34.84555000,-85.4908000,594.0
34.84565000,-85.4907300,593.0
34.84569000,-85.4906900,593.0
34.84570000,-85.4906800,593.0
34.84578000,-85.4906100,593.0
34.84582000,-85.4905800,593.0
34.84583000,-85.4905700,593.0
34.84588000,-85.4905300,593.0
34.84592000,-85.4905000,592.0
34.84596000,-85.4904800,591.0
34.84597000,-85.4904700,591.0
34.84608000,-85.4904500,590.0
34.84609000,-85.4904400,590.0
34.84615000,-85.4904000,590.0
34.84619000,-85.4903700,590.0
34.84622000,-85.4903500,591.0
34.84630000,-85.4903100,591.0
34.84635000,-85.4902900,592.0
34.84640000,-85.4902800,592.0
34.84655000,-85.4902300,590.0
34.84659000,-85.4902100,589.0
34.84662000,-85.4901900,589.0
34.84669000,-85.4901400,589.0
34.84672000,-85.4900900,589.0
34.84675000,-85.4900500,589.0
34.84677000,-85.4900200,590.0
34.84682000,-85.4899900,589.0
34.84686000,-85.4899600,589.0
34.84690000,-85.4899300,589.0
34.84695000,-85.4899100,588.0
34.84696000,-85.4899000,588.0
34.84704000,-85.4898600,588.0
34.84708000,-85.4898400,589.0
34.84710000,-85.4898200,589.0
34.84716000,-85.4897600,590.0
34.84720000,-85.4897100,591.0
34.84723000,-85.4896700,591.0
34.84726000,-85.4896300,591.0
34.84727000,-85.4896200,591.0
34.84732000,-85.4895800,591.0
34.84736000,-85.4895600,591.0
34.84741000,-85.4895400,591.0
34.84745000,-85.4895200,591.0
34.84746000,-85.4895200,591.0
34.84756000,-85.4895100,591.0
34.84760000,-85.4895400,590.0
34.84762000,-85.4895600,590.0
34.84768000,-85.4895800,590.0
34.84772000,-85.4896200,590.0
34.84775000,-85.4896500,589.0
34.84777000,-85.4896700,589.0
34.84780000,-85.4896600,589.0
34.84784000,-85.4896300,589.0
34.84786000,-85.4896200,589.0
34.84804000,-85.4895400,589.0
34.84809000,-85.4895100,588.0
34.84810000,-85.4895100,588.0
34.84815000,-85.4894700,587.0
34.84819000,-85.4894400,587.0
34.84822000,-85.4894100,587.0
34.84832000,-85.4893300,586.0
34.84836000,-85.4892900,587.0
34.84840000,-85.4892500,587.0
34.84842000,-85.4892300,587.0
34.84850000,-85.4891800,587.0
34.84855000,-85.4891700,587.0
34.84860000,-85.4891700,587.0
34.84862000,-85.4891600,586.0
34.84874000,-85.4891700,585.0
34.84879000,-85.4891500,584.0
34.84880000,-85.4891400,584.0
34.84884000,-85.4891200,583.0
34.84887000,-85.4890900,582.0
34.84892000,-85.4890700,580.0
34.84897000,-85.4890600,578.0
34.84907000,-85.4890400,573.0
34.84911000,-85.4890300,571.0
34.84913000,-85.4890200,570.0
34.84914000,-85.4890100,569.0
34.84916000,-85.4889800,568.0
34.84916000,-85.4889600,568.0
34.84916000,-85.4889500,568.0
34.84915000,-85.4889500,568.0
34.84914000,-85.4889400,569.0
34.84909000,-85.4889200,571.0
34.84897000,-85.4888900,577.0
34.84893000,-85.4888900,579.0
