Latitude,Longitude,Elevation
33.98328000,-84.5783700,353.0
33.98323000,-84.5782400,354.0
33.98321000,-84.5782200,354.0
33.98320000,-84.5782100,354.0
33.98317000,-84.5782000,355.0
33.98315000,-84.5782000,355.0
33.98305000,-84.5782100,356.0
33.98300000,-84.5781900,356.0
33.98298000,-84.5782000,356.0
33.98293000,-84.5782300,356.0
33.98290000,-84.5782500,356.0
33.98285000,-84.5782700,356.0
33.98280000,-84.5782800,356.0
33.98274000,-84.5782600,357.0
33.98269000,-84.5782400,358.0
33.98261000,-84.5781900,360.0
33.98249000,-84.5780700,364.0
33.98246000,-84.5780300,366.0
33.98242000,-84.5780200,367.0
33.98237000,-84.5780400,368.0
33.98234000,-84.5780500,369.0
33.98228000,-84.5780400,370.0
33.98223000,-84.5780200,371.0
33.98219000,-84.5780000,372.0
33.98214000,-84.5779400,373.0
33.98209000,-84.5778800,374.0
33.98206000,-84.5777900,375.0
33.98205000,-84.5777300,375.0
33.98204000,-84.5776900,375.0
33.98203000,-84.5773900,378.0
33.98204000,-84.5771800,381.0
33.98204000,-84.5770700,383.0
33.98203000,-84.5769700,386.0
33.98202000,-84.5769000,387.0
33.98201000,-84.5768100,389.0
33.98199000,-84.5767300,390.0
33.98198000,-84.5766700,391.0
33.98198000,-84.5766200,392.0
33.98198000,-84.5766000,392.0
33.98199000,-84.5765500,393.0
33.98199000,-84.5765000,393.0
33.98198000,-84.5763800,395.0
33.98199000,-84.5762500,396.0
33.98199000,-84.5761800,397.0
33.98198000,-84.5761100,398.0
33.98191000,-84.5757400,400.0
33.98190000,-84.5756700,400.0
33.98181000,-84.5753400,402.0
33.98174000,-84.5751800,404.0
33.98165000,-84.5750800,407.0
33.98156000,-84.5749300,410.0
33.98144000,-84.5748700,414.0
33.98131000,-84.5749100,418.0
33.98122000,-84.5748600,421.0
33.98122000,-84.5748200,420.0
33.98117000,-84.5748000,422.0
33.98115000,-84.5748500,422.0
33.98116000,-84.5749000,422.0
33.98117000,-84.5749600,422.0
33.98117000,-84.5750200,423.0
33.98116000,-84.5750800,424.0
33.98114000,-84.5751300,425.0
33.98113000,-84.5751900,426.0
33.98109000,-84.5752300,429.0
33.98107000,-84.5752400,429.0
33.98101000,-84.5752500,431.0
33.98096000,-84.5752400,433.0
33.98092000,-84.5752300,434.0
33.98087000,-84.5752100,436.0
33.98084000,-84.5751600,436.0
33.98081000,-84.5751100,436.0
33.98080000,-84.5750600,436.0
