Length,Elevation gain,Rocky,Stairs,Muddy,Roots,Avg_grade,Difficulty,Max_grade,PC1,PC2,PC3
4.3,1489,1,0,0,0,0.0655831571529245,5.89873417721519,0.4373230873340414,967779052.8891284,-147010972.21357283,6834276.502400533
4.7,705,1,1,0,0,0.0284090909090909,3.869565217391304,0.4656716333090051,-170274635.26881677,5713342.317111951,-66300.56898883302
1.8,534,1,1,0,0,0.0561868686868686,4.327272727272727,0.6185508708074425,-149366266.82338107,3723912.2260729424,-779514.7957438144
3.5,508,1,0,0,0,0.0274891774891774,3.111498257839721,0.3710786237576375,-156417488.70308286,5284983.022036881,-506087.333611338
3.5,380,0,0,0,1,0.0205627705627705,3.0050251256281406,0.2444955703529465,-171375628.8039619,4753830.58156406,-615773.7755097898
1.2,452,1,1,0,1,0.0713383838383838,4.849785407725322,1.1366276331838867,-144611272.20745867,-1406871.703084016,-1077687.6470995424
2.2,675,1,0,0,0,0.0581095041322314,4.098591549295775,0.4359312077758002,-47271719.22978498,-14749828.52887336,659665.9691219911
2.2,232,0,0,0,0,0.0199724517906336,2.6595744680851063,0.3357956785107533,-172251308.26393646,3430049.938404501,-643095.6332184202
4.7,442,1,0,0,0,0.0178110896196002,4.0,0.329014455205499,-176413035.9951508,2871086.8701253175,-653493.0096568401
6.1,1181,1,0,0,0,0.0366679085941381,4.173076923076923,0.3485572509850557,-51615901.03725673,15202833.007085813,1775170.5207355225
4.9,1020,0,1,0,0,0.0394248608534322,4.468085106382978,1.317858957566044,63534400.79039045,-4740723.69802977,-1634010.6748695562
4.8,1217,0,0,0,0,0.048019255050505,4.371900826446281,0.4467103748480117,-112960162.36063598,12574484.073498756,-431727.0461199227
2.2,626,1,0,0,0,0.0538911845730027,3.909090909090909,0.243424024805545,-88875613.6975273,-7184918.293326362,51394.54307750332
2.2,662,0,0,0,0,0.0569903581267217,3.923076923076923,0.2974379344267994,-103491083.0802002,-2985633.63779866,-174433.1517902435
6.9,711,1,0,0,0,0.0195158102766798,4.915584415584416,0.2178110477658377,-146698058.15636176,14314691.19844672,-517254.354440278
5.3,518,1,0,0,1,0.0185105774728416,3.515384615384616,0.2758295375626481,-175246528.45988283,4336029.844484447,-577954.737418545
2.3,298,1,0,0,0,0.0245388669301712,3.13,0.4417326756983313,-172179262.57547548,3416217.006608998,-560295.52470032
2.8,229,1,0,0,1,0.0154897186147186,3.255172413793104,0.209818957849252,-175028119.79046133,3453837.392268686,-648529.4542270374
4.9,472,1,0,0,0,0.0182436611008039,4.247058823529412,0.2427301243726149,-164487166.82158008,7834170.54017224,131437.855786073
1.3,426,0,0,0,0,0.062062937062937,3.703296703296704,0.5106660578508961,-127389390.71259263,-4776777.324104486,-651229.0648416406
6.6,600,0,0,1,0,0.0172176308539944,4.156521739130435,0.3371028124522697,-176684931.77627707,2780452.6159688407,-675424.2576688695
6.0,360,0,0,1,0,0.0113636363636363,2.955555555555556,0.2218728415803812,-176733148.27462873,3142782.826734532,-601193.0028994344
2.2,561,0,0,0,1,0.0482954545454545,3.849056603773585,0.3490915002255135,-150751725.67453673,1841764.1845431381,45972.92287856646
3.6,479,1,0,0,0,0.0251999158249158,3.6298701298701297,0.2975227992800568,-166576583.12092724,5422306.385787929,-325540.8322211536
0.9,219,0,0,0,0,0.0460858585858585,2.2527472527472527,0.2996264819185419,-165466416.4377493,1004231.9616686461,-613829.5656595783
4.2,262,0,0,1,0,0.0118145743145743,2.546153846153846,0.1654415228781961,-176485382.99887997,3085341.018155053,-544925.7514605465
0.3,242,0,1,0,0,0.1527777777777778,5.945945945945946,0.5615898483889284,-174549078.86202815,2178889.0450483523,-877773.8346413963
3.3,515,0,0,1,0,0.0295569329660238,3.661971830985916,0.3915415943045344,-172131161.00076613,4252470.755307527,-523275.4824658564
1.8,272,0,0,1,0,0.0286195286195286,2.734375,0.2755158152549101,-161220312.19545126,11427858.300876891,-407336.985497292
2.0,111,1,0,0,1,0.0105113636363636,2.6621621621621623,0.1941349372265936,-166091688.19317555,7041982.763061699,128790.78140812449
9.9,2240,1,0,0,0,0.0428527701254973,5.324675324675325,0.4044678815543268,59795290.394774355,58460217.65011251,571280.3519502131
3.9,318,1,0,1,0,0.0154428904428904,2.5517241379310347,0.1746641339757486,-175162313.34445938,3754782.938985402,-663551.3361323222
2.0,190,1,0,0,1,0.0179924242424242,1.694736842105263,0.3054351854075307,-174864066.0572818,2949660.0851354497,-544566.9426415825
3.4,314,1,0,0,1,0.0174910873440285,3.592233009708738,0.3711973208351145,-175517977.9213321,3386051.795826771,-650270.7139240834
16.0,4137,1,1,0,0,0.0489701704545454,6.780487804878049,1.0320371330770506,3705425672.8035398,386350453.06654024,-526147.912150701
2.3,587,0,1,0,0,0.0483366271409749,4.904109589041096,0.9262660859333424,-109702886.34253334,-2805876.8593508257,-35391.5492444013
3.9,462,1,0,1,0,0.0224358974358974,3.72093023255814,0.2313940466224482,-170032520.06550968,5064493.874858999,-562945.6397565004
3.1,236,1,0,1,0,0.0144183773216031,3.0084745762711864,0.2486628198015273,-176746652.79209918,2876793.390229246,-601523.6934463149
3.1,1036,0,0,1,0,0.0632942326490713,4.063157894736842,0.543091772886295,117524023.1675929,-30639263.767956126,1914243.6780356176
1.9,242,1,0,0,0,0.0241228070175438,1.8484848484848484,0.2280514628430145,-165855462.47207457,2579861.0155868097,-494972.6521049148
6.1,593,1,0,0,1,0.0184115747640337,3.1486486486486487,0.3222766568495643,-174743231.123996,4923534.184086571,-574396.6408364706
4.8,1062,1,0,0,0,0.041903409090909,3.888888888888889,0.3206457471800608,-90470875.17803071,9954150.178053033,2124556.2170881974
5.9,1712,1,0,0,0,0.0549563430919363,4.8,0.5057696639336511,17058039.992054246,18022563.117089912,1604270.8836612764
2.2,288,0,0,0,1,0.024793388429752,1.841726618705036,0.2191665913372174,-173493394.75091994,3243329.2448477247,-657689.0559834716
0.9,193,0,0,0,0,0.0406144781144781,3.0,0.2258562897934187,-171113844.72119173,1874579.0024746545,-667685.6925625261
1.9,331,1,0,1,1,0.0329944178628389,1.5294117647058822,0.3251239829065637,-168207798.0373238,2580451.63498574,-525101.7571743624
4.6,1279,1,0,0,1,0.0526597496706192,4.315789473684211,0.4043424923781165,-114841796.46600121,7079538.704007861,1639214.2719280876
5.6,1023,1,0,0,1,0.0345982142857142,3.7739726027397262,0.3932363536769485,29280887.60923521,9743891.840658242,1903377.3568246472
4.6,1361,1,0,0,0,0.0560359025032938,5.575,0.3793106341611136,730877750.9067578,-102183577.1981801,7260833.142960797
3.3,32,0,0,0,0,0.0018365472910927,1.7285714285714286,0.1541474355820741,-177017591.96059126,2723188.6101620356,-667597.0815555168
